Dataset,Band,Channel,Start_ms,End_ms,Duration_ms,Direction,ClusterMass,CorrectedP,Significant,PeakAbsD,PeakD,PeakTime_ms
VisualCogA_Task-1,beta,Fz,867.1875,867.1875,7.8125,左>右,2.0378423624121824,1.0,0,0.5626934182042113,0.5626934182042113,867.1875
VisualCogA_Task-1,beta,Fz,953.125,984.375,39.0625,左>右,11.431469724083113,0.998001998001998,0,0.667630768124637,0.667630768124637,968.75
VisualCogA_Task-1,beta,Fz,1171.875,1179.6875,15.625,左>右,4.302733175704141,1.0,0,0.6091222779737484,0.6091222779737484,1179.6875
VisualCogA_Task-1,beta,Fz,1468.75,1531.25,70.3125,左>右,19.947295726491596,0.957042957042957,0,0.6476512817313612,0.6476512817313612,1523.4375
VisualCogA_Task-1,beta,Fz,1953.125,1976.5625,31.25,左>右,9.795471891763063,0.999000999000999,0,0.7184438132163333,0.7184438132163333,1960.9375
VisualCogA_Task-1,beta,Fz,2054.6875,2070.3125,23.4375,左>右,6.298918067513542,1.0,0,0.5928951514251992,0.5928951514251992,2062.5
VisualCogA_Task-1,beta,F4,593.75,695.3125,109.375,左>右,37.12806551420692,0.7192807192807192,0,0.878761749889442,0.878761749889442,648.4375
VisualCogA_Task-1,beta,F4,929.6875,968.75,46.875,左>右,14.43880813608274,0.993006993006993,0,0.7294235074548848,0.7294235074548848,953.125
VisualCogA_Task-1,beta,F4,1500.0,1531.25,39.0625,左>右,13.001781835294919,0.997002997002997,0,0.790494030110191,0.790494030110191,1515.625
VisualCogA_Task-1,beta,F4,1726.5625,1757.8125,39.0625,左>右,10.511420159435191,0.999000999000999,0,0.5963429396305168,0.5963429396305168,1734.375
VisualCogA_Task-1,beta,F4,2031.25,2054.6875,31.25,左>右,8.787771297721015,0.999000999000999,0,0.6451250887434048,0.6451250887434048,2046.875
VisualCogA_Task-1,beta,F4,2085.9375,2101.5625,23.4375,左>右,7.6491455804623385,0.999000999000999,0,0.7672625712333644,0.7672625712333644,2093.75
VisualCogA_Task-2,theta,F3,1000.0,1046.875,54.6875,左<右,15.398652553533836,0.9760239760239761,0,0.50096784374673,-0.50096784374673,1015.625
VisualCogA_Task-2,theta,F3,1945.3125,2078.125,140.625,左<右,49.283631832918275,0.43756243756243757,0,0.7227046138795051,-0.7227046138795051,2000.0
VisualCogA_Task-2,alpha,F3,1367.1875,1445.3125,85.9375,左<右,25.61073023783918,0.8401598401598401,0,0.5609157709209888,-0.5609157709209888,1406.25
VisualCogA_Task-2,alpha,Fz,195.3125,218.75,31.25,左<右,8.571080728327845,0.999000999000999,0,0.47323746159360425,-0.47323746159360425,210.9375
VisualCogA_Task-2,alpha,F4,187.5,296.875,117.1875,左<右,32.586234669057546,0.6973026973026973,0,0.49406923449378554,-0.49406923449378554,273.4375
VisualCogA_Task-2,alpha,F4,882.8125,921.875,46.875,左<右,12.779547211227175,0.9920079920079921,0,0.4942232633272872,-0.4942232633272872,906.25
VisualCogA_Task-2,alpha,F4,1328.125,1335.9375,15.625,左<右,4.197200352650429,1.0,0,0.4607797905722168,-0.4607797905722168,1335.9375
VisualCogA_Task-2,beta,F3,62.5,78.125,23.4375,左<右,6.4387397639725865,1.0,0,0.48239147078556066,-0.48239147078556066,70.3125
VisualCogA_Task-2,beta,F3,710.9375,710.9375,7.8125,左<右,2.0422565660277887,1.0,0,0.4578876797812484,-0.4578876797812484,710.9375
VisualCogA_Task-2,beta,F3,867.1875,906.25,46.875,左<右,16.024493600174583,0.971028971028971,0,0.6464325877474696,-0.6464325877474696,890.625
VisualCogA_Task-2,beta,F3,1039.0625,1062.5,31.25,左<右,9.65784086178065,0.998001998001998,0,0.5754853614294718,-0.5754853614294718,1054.6875
VisualCogA_Task-2,beta,F3,1234.375,1281.25,54.6875,左<右,17.649603877633247,0.957042957042957,0,0.6219325091055652,-0.6219325091055652,1257.8125
VisualCogA_Task-2,beta,F3,1406.25,1421.875,23.4375,左<右,6.160816731484959,1.0,0,0.46507036958283143,-0.46507036958283143,1414.0625
VisualCogA_Task-2,beta,F3,1437.5,1460.9375,31.25,左<右,8.472803659711863,1.0,0,0.4908016902918155,-0.4908016902918155,1453.125
VisualCogA_Task-2,beta,F3,2039.0625,2078.125,46.875,左<右,14.347461572076545,0.981018981018981,0,0.5623032122360117,-0.5623032122360117,2062.5
VisualCogA_Task-2,beta,F3,2117.1875,2125.0,15.625,左<右,4.068039626746348,1.0,0,0.4593486775866106,-0.4593486775866106,2117.1875
VisualCogA_Task-2,beta,Fz,546.875,554.6875,15.625,左<右,4.167904565150236,1.0,0,0.45117945545439236,-0.45117945545439236,554.6875
VisualCogA_Task-2,beta,Fz,859.375,875.0,23.4375,左<右,6.387488757720828,1.0,0,0.4805034553506878,-0.4805034553506878,867.1875
VisualCogA_Task-2,beta,Fz,1421.875,1421.875,7.8125,左<右,2.085760301910288,1.0,0,0.4371901494244809,-0.4371901494244809,1421.875
VisualCogA_Task-2,beta,Fz,1687.5,1687.5,7.8125,左<右,2.110695600388439,1.0,0,0.46167271342472627,-0.46167271342472627,1687.5
VisualCogA_Task-2,beta,Fz,1703.125,1710.9375,15.625,左<右,4.497595744373852,1.0,0,0.5032579202623882,-0.5032579202623882,1710.9375
VisualCogA_Task-2,beta,F4,2140.625,2148.4375,15.625,左<右,4.312287188752365,1.0,0,0.46681501195464686,-0.46681501195464686,2148.4375
VisualCogB_Task-1,theta,F3,93.75,93.75,7.8125,左<右,2.0163514686870205,1.0,0,0.44496466649023236,-0.44496466649023236,93.75
VisualCogB_Task-1,theta,Fz,54.6875,85.9375,39.0625,左>右,10.43698486670717,1.0,0,0.4704600428899441,0.4704600428899441,62.5
VisualCogB_Task-1,theta,Fz,320.3125,453.125,140.625,左>右,40.7095747402208,0.5944055944055944,0,0.553914872291211,0.553914872291211,382.8125
VisualCogB_Task-1,theta,Fz,1187.5,1546.875,367.1875,左>右,139.3727433221577,0.029970029970029972,1,0.810219395701942,0.810219395701942,1328.125
VisualCogB_Task-1,theta,Fz,1992.1875,2164.0625,179.6875,左>右,51.463164080079565,0.4275724275724276,0,0.5447585155098609,0.5447585155098609,2117.1875
VisualCogB_Task-1,theta,F4,46.875,109.375,70.3125,左>右,19.590295368278607,0.9440559440559441,0,0.487995910601485,0.487995910601485,70.3125
VisualCogB_Task-1,theta,F4,1226.5625,1539.0625,320.3125,左>右,128.76055346645649,0.04495504495504495,1,0.8348705356897935,0.8348705356897935,1343.75
VisualCogB_Task-1,theta,F4,2007.8125,2007.8125,7.8125,左>右,1.990352704375066,1.0,0,0.4374252962659683,0.4374252962659683,2007.8125
VisualCogB_Task-1,theta,F4,2046.875,2046.875,7.8125,左>右,2.0563046530622557,1.0,0,0.45168034355741393,0.45168034355741393,2046.875
VisualCogB_Task-1,alpha,F3,2023.4375,2031.25,15.625,左<右,4.063783787340464,1.0,0,0.449078810233815,-0.449078810233815,2023.4375
VisualCogB_Task-1,beta,F3,187.5,195.3125,15.625,左<右,4.109679616318015,1.0,0,0.4575580777771985,-0.4575580777771985,195.3125
VisualCogB_Task-1,beta,F3,210.9375,226.5625,23.4375,左<右,6.515862111668279,1.0,0,0.49891943055453647,-0.49891943055453647,226.5625
VisualCogB_Task-1,beta,F3,351.5625,382.8125,39.0625,左<右,12.160432657770185,0.998001998001998,0,0.5837024595842828,-0.5837024595842828,367.1875
VisualCogB_Task-1,beta,F3,429.6875,460.9375,39.0625,左<右,12.728003843291258,0.996003996003996,0,0.6357214774417055,-0.6357214774417055,445.3125
VisualCogB_Task-1,beta,F3,476.5625,492.1875,23.4375,左<右,6.353291969783863,1.0,0,0.47726234383189164,-0.47726234383189164,484.375
VisualCogB_Task-1,beta,F3,539.0625,570.3125,39.0625,左<右,11.944101558666171,0.998001998001998,0,0.5874900109629517,-0.5874900109629517,554.6875
VisualCogB_Task-1,beta,F3,953.125,992.1875,46.875,左<右,13.99072638679324,0.994005994005994,0,0.5937455609607223,-0.5937455609607223,976.5625
VisualCogB_Task-1,beta,F3,1796.875,1828.125,39.0625,左<右,12.060110825665308,0.998001998001998,0,0.5775381995513139,-0.5775381995513139,1812.5
VisualCogB_Task-1,beta,Fz,476.5625,507.8125,39.0625,左<右,11.764336201379882,0.999000999000999,0,0.5558602625449532,-0.5558602625449532,492.1875
VisualCogB_Task-1,beta,Fz,875.0,921.875,54.6875,左>右,14.93131876542071,0.986013986013986,0,0.47617091186202604,0.47617091186202604,906.25
VisualCogB_Task-1,beta,Fz,1156.25,1156.25,7.8125,左<右,2.0327971498405106,1.0,0,0.4465478246980719,-0.4465478246980719,1156.25
VisualCogB_Task-1,beta,Fz,1992.1875,2031.25,46.875,左>右,15.102979314494211,0.986013986013986,0,0.6529707824903087,0.6529707824903087,2015.625
VisualCogB_Task-1,beta,Fz,2195.3125,2195.3125,7.8125,左>右,2.3826402757474527,1.0,0,0.5238640181535967,0.5238640181535967,2195.3125
VisualCogB_Task-1,beta,F4,250.0,250.0,7.8125,左<右,2.0500997369843272,1.0,0,0.45099557241690436,-0.45099557241690436,250.0
VisualCogB_Task-1,beta,F4,867.1875,929.6875,70.3125,左>右,20.977860153988807,0.9310689310689311,0,0.5703646015849808,0.5703646015849808,875.0
VisualCogB_Task-1,beta,F4,1554.6875,1593.75,46.875,左>右,13.81965480426826,0.994005994005994,0,0.5576157882061039,0.5576157882061039,1562.5
VisualCogB_Task-1,beta,F4,1992.1875,2015.625,31.25,左>右,8.837728383961535,1.0,0,0.5083250095662806,0.5083250095662806,2007.8125
VisualCogB_Task-1,beta,F4,2195.3125,2195.3125,7.8125,左>右,2.2727957478992695,1.0,0,0.49927002874503157,0.49927002874503157,2195.3125
VisualCogB_Task-2,theta,F3,445.3125,468.75,31.25,左>右,8.321126272500532,0.997002997002997,0,0.4633974875889924,0.4633974875889924,453.125
VisualCogB_Task-2,theta,F3,2078.125,2085.9375,15.625,左>右,4.021585276663979,1.0,0,0.4467400770802102,0.4467400770802102,2085.9375
VisualCogB_Task-2,theta,F3,2117.1875,2132.8125,23.4375,左>右,6.160463687449569,0.999000999000999,0,0.4633537242679889,0.4633537242679889,2125.0
VisualCogB_Task-2,alpha,F3,265.625,351.5625,93.75,左>右,27.067066436583822,0.8251748251748252,0,0.5075389727666699,0.5075389727666699,296.875
VisualCogB_Task-2,alpha,F4,898.4375,898.4375,7.8125,左>右,1.9923392850754322,1.0,0,0.44290730768441433,0.44290730768441433,898.4375
VisualCogB_Task-2,alpha,F4,1257.8125,1601.5625,351.5625,左>右,108.7441845655449,0.09290709290709291,0,0.5788103807475955,0.5788103807475955,1328.125
VisualCogB_Task-2,alpha,F4,1757.8125,1929.6875,179.6875,左>右,55.21354202431154,0.38961038961038963,0,0.6635313045854834,0.6635313045854834,1859.375
VisualCogB_Task-2,beta,F3,132.8125,148.4375,23.4375,左>右,6.343197843017072,0.998001998001998,0,0.48481230443105716,0.48481230443105716,140.625
VisualCogB_Task-2,beta,F3,1046.875,1054.6875,15.625,左>右,4.093462070501957,1.0,0,0.4646424153966057,0.4646424153966057,1054.6875
VisualCogB_Task-2,beta,F3,1671.875,1710.9375,46.875,左<右,13.292191785615433,0.98001998001998,0,0.5416760097953247,-0.5416760097953247,1695.3125
VisualCogB_Task-2,beta,Fz,1679.6875,1718.75,46.875,左<右,14.307060473681883,0.972027972027972,0,0.5841737871459398,-0.5841737871459398,1695.3125
VisualCogB_Task-2,beta,F4,1945.3125,2000.0,62.5,左>右,20.028752102275632,0.926073926073926,0,0.5957502458525596,0.5957502458525596,1976.5625
