task,record,fold,trial_index_1based,cue_true,full_curve_prediction,full_curve_distance_left,full_curve_distance_right,full_curve_correct,local_window_prediction,local_window_distance_left,local_window_distance_right,local_window_correct,selected_channel,selected_window_start_ms,selected_window_last_sample_ms,selected_window_nominal_ms,training_selection_balanced_accuracy,training_left_feature_mean,training_right_feature_mean,n_train_left,n_train_right,n_test,template_scope,full_curve_scope,local_window_scope
Task1,VisualCogA_Task-1,3,29,left,right,23.47830966574035,13.681075526610446,0,right,17.819576589922548,10.195527310681895,0,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,30,left,left,28.263742320453385,32.33538115893024,1,right,9.523849962733475,1.8998006834928212,0,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,31,right,right,119.73781985651445,108.92001162574114,1,right,15.00145434145167,7.3774050622110146,1,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,32,right,right,41.42706048731674,31.75359519447753,1,right,16.357060014091665,8.73301073485101,1,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,3,33,left,right,65.89405098180148,55.51836058739579,0,right,6.375064740193089,1.2489845390475653,0,Fz,187.5,281.25,100,0.7694805194805194,6.910586598511424,-0.7134626807292308,22,21,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,34,right,left,14.439942464218781,21.414980824189463,0,left,13.526804935764943,37.62517974933648,0,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,35,right,left,19.497576587518257,21.011402234872243,0,left,24.048141868741048,27.10384281636038,0,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,36,left,right,15.630298036579285,12.334525863726013,0,right,29.21533587369916,21.936648811402268,0,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,37,left,left,11.231708681081304,14.703695409593823,1,left,17.26500440214172,33.886980282959705,1,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,38,right,right,33.04211834282713,19.181617734866048,1,right,41.17439746955357,9.97758721554786,1,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,39,right,right,15.913502942971741,12.406895785417172,1,right,39.585726672249095,11.566258012852332,1,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,40,right,left,11.306712195376685,15.976232111950294,0,left,25.015465303655546,26.13651938144588,0,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,41,left,right,29.195251468653243,15.294209074226801,0,right,41.656672044675936,9.49531264042549,0,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,42,right,left,65.3056407280845,86.01267113240687,0,left,134.99463348144906,186.1466181665505,0,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,43,left,left,47.38490651734734,68.14869361328742,1,left,101.8336148953355,152.98559958043694,1,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,4,44,right,left,25.22938671806915,46.000925452966165,0,left,36.41552274146166,87.56750742656308,0,F4,453.125,468.75,25,0.7811111111111111,-29.973759766441617,21.17822491865981,25,18,11,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,45,left,right,13.824560460156073,8.584237465146588,0,right,21.26166365322896,1.7181903258757099,0,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,46,left,right,16.837679406531382,15.443515024207125,0,right,21.02737208136668,1.9524818977379934,0,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,47,right,right,14.889963738816455,10.167686176181956,1,right,15.197893011178408,7.781960967926263,1,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,48,left,left,49.87788579755765,58.89692900636764,1,left,7.304722284334986,15.675131694769686,1,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,49,right,right,19.52606691873591,15.635249772465626,1,right,11.560174893005117,11.419679086099553,1,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,50,left,left,78.3540803414366,88.89005547318033,1,left,73.3750774148791,96.35493139398378,1,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,51,right,right,34.288244779151405,25.08739440914119,1,right,37.95996496349696,14.980110984392283,1,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,52,right,right,12.55237659673848,9.434957767325946,1,left,7.787748998423007,15.192104980681663,0,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,53,left,left,16.077850064401495,17.856052982663737,1,left,6.787471934928508,16.192382044176163,1,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-1,5,54,right,right,16.834855760950813,10.596172951500572,1,right,22.207381959001584,0.7724720201030877,1,F4,125.0,218.75,100,0.7291666666666667,-17.98213404043977,4.9977199386649,24,20,10,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,1,right,left,83.20905878040212,84.18622378763338,0,left,13.351793499324298,22.12354931591911,0,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,2,left,left,95.21098972373728,98.14669712633041,1,left,15.68645276177537,24.458208578370183,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,3,left,right,24.639653445478793,23.741172949306183,0,right,15.957710839184978,7.185955022590168,0,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,4,left,left,60.79797778995178,63.70231584314873,1,left,23.32183135662764,32.09358717322245,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,5,right,left,30.16133784598474,31.066503801349,0,left,26.06439494590051,34.83615076249532,0,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,6,left,left,47.471768621185426,48.72724203708705,1,left,8.803812231605491,17.5755680482003,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,7,right,right,27.588064541556026,26.696534087451223,1,right,19.28055286655114,10.508797049956332,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,8,right,left,17.55509908713935,18.29575265708973,0,right,4.579974795490852,4.191781021103958,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,9,left,right,17.22004748797618,16.65271358402705,0,right,20.504734193981015,11.732978377386207,0,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,10,left,right,94.48596602089646,91.75184675302769,0,right,52.42457462075455,43.652818804159736,0,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,11,right,right,24.31546998138608,21.9073630629943,1,right,11.50863006362813,2.7368742470333203,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,12,right,right,95.23979207111684,93.51399978771316,1,right,7.864710565972068,0.9070452506227422,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,13,right,right,59.976163298270976,59.323187462005734,1,right,58.71919448240362,49.94743866580881,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,14,left,right,23.834975317328954,22.37923576343571,0,right,26.099210973353266,17.327455156758454,0,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,15,left,left,38.89355836042696,40.26215958962067,1,left,25.881812948809817,34.65356876540463,1,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,1,16,left,right,34.30268490669767,33.94816208088865,0,right,12.74668870190038,3.97493288530557,0,Fz,265.625,281.25,25,0.6428571428571428,7.430943517171174,16.202699333765985,36,28,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,2,17,right,right,45.319778047307025,40.16574117288317,1,right,44.669705888195445,7.425235500116607,1,F3,234.375,250.0,25,0.667004048582996,-1.0765855906587094,36.16788479742013,38,26,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,2,18,right,left,33.19738805207993,33.98664713976059,0,right,23.560392672694448,13.68407771538439,1,F3,234.375,250.0,25,0.667004048582996,-1.0765855906587094,36.16788479742013,38,26,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,2,19,left,right,156.19923082028674,140.49518569256904,0,right,165.69872274331357,128.45425235523473,0,F3,234.375,250.0,25,0.667004048582996,-1.0765855906587094,36.16788479742013,38,26,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,2,20,left,left,18.041195183397473,24.195722506605954,1,left,1.355047019196938,38.599517407275776,1,F3,234.375,250.0,25,0.667004048582996,-1.0765855906587094,36.16788479742013,38,26,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,2,21,right,left,66.40585306186864,81.73179024124414,0,left,84.43323576270767,121.6777061507865,0,F3,234.375,250.0,25,0.667004048582996,-1.0765855906587094,36.16788479742013,38,26,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,2,22,left,right,110.01170731801332,94.30766219029557,0,right,75.31268204770727,38.06821165962843,0,F3,234.375,250.0,25,0.667004048582996,-1.0765855906587094,36.16788479742013,38,26,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,2,23,right,left,40.08600252230551,54.39379582582132,0,left,8.72241544140422,28.52205494667462,0,F3,234.375,250.0,25,0.667004048582996,-1.0765855906587094,36.16788479742013,38,26,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
Task1,VisualCogA_Task-2,2,24,left,right,31.427790587080956,29.576982249995968,0,left,15.5412709058128,21.703199482266037,1,F3,234.375,250.0,25,0.667004048582996,-1.0765855906587094,36.16788479742013,38,26,16,same_record_training_trials_only,F3_Fz_F4_all_samples_0_800ms_mean_absolute_error,training_selected_channel_window_mean_absolute_error_to_class_means
