record,train_block,mapping,alpha,sensor,source,weight
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,Fz,early_visual_field_right,-22.603132038270957
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,Fz,config_energy_visual_field_left,-82.21265912416696
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,Fz,config_energy_visual_field_right,-150.28967870326642
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,Fz,triangle_left_preference,-7.321420748899394
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,Fz,triangle_right_preference,30.273544121020116
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F4,early_visual_field_left,-100.82433607045316
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F4,early_visual_field_right,61.36490930016904
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F4,config_energy_visual_field_left,-230.01956074979148
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F4,config_energy_visual_field_right,348.9886968172844
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F4,triangle_left_preference,149.74008862216107
VisualCogA_Task-1,first,effective_ridge_alpha_0.1,0.1,F4,triangle_right_preference,-49.990788878002625
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F3,early_visual_field_left,18.52665786820818
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F3,early_visual_field_right,32.54696336735988
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F3,config_energy_visual_field_left,70.78713646384698
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F3,config_energy_visual_field_right,96.53319295021045
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F3,triangle_left_preference,98.3157900025153
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F3,triangle_right_preference,20.25799491967129
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,Fz,early_visual_field_left,-44.54486483297032
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,Fz,early_visual_field_right,-54.529793127971914
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,Fz,config_energy_visual_field_left,-70.45204957639069
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,Fz,config_energy_visual_field_right,-89.2691367108864
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,Fz,triangle_left_preference,14.393535875717728
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,Fz,triangle_right_preference,30.3626229647262
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F4,early_visual_field_left,-40.80248950643145
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F4,early_visual_field_right,34.671640983685236
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F4,config_energy_visual_field_left,-51.58205737491277
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F4,config_energy_visual_field_right,103.3870222276054
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F4,triangle_left_preference,77.16329298463602
VisualCogA_Task-1,first,effective_ridge_alpha_1,1.0,F4,triangle_right_preference,21.967720208821355
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F3,early_visual_field_left,6.24078680267995
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F3,early_visual_field_right,6.802693074872671
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F3,config_energy_visual_field_left,38.10321745480962
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F3,config_energy_visual_field_right,28.065855562919396
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F3,triangle_left_preference,80.30583186085838
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F3,triangle_right_preference,22.11629563537527
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,Fz,early_visual_field_left,-30.134050680759877
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,Fz,early_visual_field_right,-31.648900949596854
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,Fz,config_energy_visual_field_left,-31.01288612694712
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,Fz,config_energy_visual_field_right,-33.634382789367606
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,Fz,triangle_left_preference,29.37118597505148
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,Fz,triangle_right_preference,31.724761698116556
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F4,early_visual_field_left,-13.337059060745522
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F4,early_visual_field_right,-0.6067088761008698
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F4,config_energy_visual_field_left,-7.00672019061802
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F4,config_energy_visual_field_right,27.33047642086654
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F4,triangle_left_preference,28.275338900905087
VisualCogA_Task-1,first,effective_ridge_alpha_10,10.0,F4,triangle_right_preference,66.77580764122209
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F3,early_visual_field_left,-9.029473814348425
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F3,early_visual_field_right,-10.52852247233441
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F3,config_energy_visual_field_left,7.650247041764967
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F3,config_energy_visual_field_right,-5.123985478303152
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F3,triangle_left_preference,61.65623514315466
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F3,triangle_right_preference,15.790204932092454
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,Fz,early_visual_field_left,-11.03945366482814
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,Fz,early_visual_field_right,-11.03945366482814
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,Fz,config_energy_visual_field_left,-1.4917531534884556
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,Fz,config_energy_visual_field_right,-1.4917531534884556
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,Fz,triangle_left_preference,29.712354516566535
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,Fz,triangle_right_preference,29.712354516566535
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F4,early_visual_field_left,-10.52852247233441
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F4,early_visual_field_right,-9.029473814348425
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F4,config_energy_visual_field_left,-5.123985478303152
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F4,config_energy_visual_field_right,7.650247041764967
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F4,triangle_left_preference,15.790204932092454
VisualCogA_Task-1,second,legacy_fixed_G_train_scalar,,F4,triangle_right_preference,61.65623514315466
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F3,early_visual_field_left,-31.141506030745862
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F3,early_visual_field_right,-10.810110035929794
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F3,config_energy_visual_field_left,17.700963547705683
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F3,config_energy_visual_field_right,228.12538740839153
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F3,triangle_left_preference,101.41233815710662
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F3,triangle_right_preference,9.429327921859455
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,Fz,early_visual_field_left,38.08947927768181
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,Fz,early_visual_field_right,25.3685233302603
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,Fz,config_energy_visual_field_left,-144.82877599933244
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,Fz,config_energy_visual_field_right,-147.11047218149642
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,Fz,triangle_left_preference,-9.686069758891287
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,Fz,triangle_right_preference,7.176466139207127
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F4,early_visual_field_left,-113.13413940980116
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F4,early_visual_field_right,24.763615565229475
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F4,config_energy_visual_field_left,-150.05765223927222
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F4,config_energy_visual_field_right,341.0315023287449
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F4,triangle_left_preference,140.96208533061406
VisualCogA_Task-1,second,effective_ridge_alpha_0.1,0.1,F4,triangle_right_preference,-39.858754616405825
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F3,early_visual_field_left,11.329150358824172
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F3,early_visual_field_right,23.17613155899753
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F3,config_energy_visual_field_left,54.13967454745364
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F3,config_energy_visual_field_right,80.14607503252142
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F3,triangle_left_preference,82.4431081661245
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F3,triangle_right_preference,15.601913576623328
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,Fz,early_visual_field_left,-36.60455741452482
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,Fz,early_visual_field_right,-41.48921082607343
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,Fz,config_energy_visual_field_left,-80.52102538489545
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,Fz,config_energy_visual_field_right,-85.87972214754012
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,Fz,triangle_left_preference,12.236172389820426
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,Fz,triangle_right_preference,19.215324091497454
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F4,early_visual_field_left,-33.48966646860169
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F4,early_visual_field_right,32.76637567279003
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F4,config_energy_visual_field_left,-26.822031591659577
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F4,config_energy_visual_field_right,107.63627233964168
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F4,triangle_left_preference,70.60692188135123
VisualCogA_Task-1,second,effective_ridge_alpha_1,1.0,F4,triangle_right_preference,18.89125863074839
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F3,early_visual_field_left,3.8711739297405092
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F3,early_visual_field_right,4.39914114935435
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F3,config_energy_visual_field_left,29.93345281731461
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F3,config_energy_visual_field_right,22.033107298073936
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F3,triangle_left_preference,67.11231760479203
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F3,triangle_right_preference,18.134100585253755
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,Fz,early_visual_field_left,-27.139471029572196
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,Fz,early_visual_field_right,-27.851713495401
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,Fz,config_energy_visual_field_left,-31.411816204277994
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,Fz,config_energy_visual_field_right,-32.26747266408463
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,Fz,triangle_left_preference,24.288949459008183
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,Fz,triangle_right_preference,25.314767575333548
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F4,early_visual_field_left,-8.559707902309619
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F4,early_visual_field_right,2.5834846713512047
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F4,config_energy_visual_field_left,-0.02066478990736571
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F4,config_energy_visual_field_right,29.46326080990079
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F4,triangle_left_preference,25.105264963576374
VisualCogA_Task-1,second,effective_ridge_alpha_10,10.0,F4,triangle_right_preference,56.570249023511145
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F3,early_visual_field_left,79.44068686917599
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F3,early_visual_field_right,92.6292134089494
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F3,config_energy_visual_field_left,-67.30634499996563
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F3,config_energy_visual_field_right,45.080470276933745
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F3,triangle_left_preference,-542.4472976217473
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F3,triangle_right_preference,-138.9211322167163
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,Fz,early_visual_field_left,97.12435074575532
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,Fz,early_visual_field_right,97.12435074575532
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,Fz,config_energy_visual_field_left,13.124341195172262
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,Fz,config_energy_visual_field_right,13.124341195172262
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,Fz,triangle_left_preference,-261.4072425289863
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,Fz,triangle_right_preference,-261.4072425289863
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F4,early_visual_field_left,92.6292134089494
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F4,early_visual_field_right,79.44068686917599
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F4,config_energy_visual_field_left,45.080470276933745
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F4,config_energy_visual_field_right,-67.30634499996563
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F4,triangle_left_preference,-138.9211322167163
VisualCogA_Task-2,first,legacy_fixed_G_train_scalar,,F4,triangle_right_preference,-542.4472976217473
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F3,early_visual_field_left,389.51372110302526
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F3,early_visual_field_right,629.7892467988637
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F3,config_energy_visual_field_left,-453.1430062226892
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F3,config_energy_visual_field_right,-425.2612851616243
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F3,triangle_left_preference,-477.12838238237293
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F3,triangle_right_preference,-412.9113438267231
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,Fz,early_visual_field_left,422.9044928634669
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,Fz,early_visual_field_right,400.3633548399113
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,Fz,config_energy_visual_field_left,-5.384114951098302
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,Fz,config_energy_visual_field_right,-408.9254567136179
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,Fz,triangle_left_preference,-341.8345456394438
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,Fz,triangle_right_preference,-292.855665550679
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F4,early_visual_field_left,589.742011282948
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F4,early_visual_field_right,430.0112165121794
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F4,config_energy_visual_field_left,-5.202190567465386
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F4,config_energy_visual_field_right,-665.4452782484849
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F4,triangle_left_preference,-352.35396835521453
VisualCogA_Task-2,first,effective_ridge_alpha_0.1,0.1,F4,triangle_right_preference,-498.03203989579833
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F3,early_visual_field_left,72.29710751119373
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F3,early_visual_field_right,174.36782616078298
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F3,config_energy_visual_field_left,-233.50412545987757
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F3,config_energy_visual_field_right,-37.42869808702887
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F3,triangle_left_preference,-500.3390538640818
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F3,triangle_right_preference,-234.57117038401373
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,Fz,early_visual_field_left,162.25620440053953
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,Fz,early_visual_field_right,147.4791583072076
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,Fz,config_energy_visual_field_left,14.34457202878786
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,Fz,config_energy_visual_field_right,-44.74616153676815
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,Fz,triangle_left_preference,-281.4136566837877
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,Fz,triangle_right_preference,-257.0141755280637
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F4,early_visual_field_left,194.5725183547333
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F4,early_visual_field_right,112.21089512949692
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F4,config_energy_visual_field_left,51.51570358595327
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F4,config_energy_visual_field_right,-193.4794865514208
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F4,triangle_left_preference,-209.38132942446111
VisualCogA_Task-2,first,effective_ridge_alpha_1,1.0,F4,triangle_right_preference,-501.7934070290313
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F3,early_visual_field_left,64.25408743105282
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F3,early_visual_field_right,90.3957396067809
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F3,config_energy_visual_field_left,-107.73304407016734
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F3,config_energy_visual_field_right,18.74226723939445
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F3,triangle_left_preference,-538.850043875925
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F3,triangle_right_preference,-155.47088921244293
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,Fz,early_visual_field_left,106.46308011101213
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,Fz,early_visual_field_right,104.21903189479008
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,Fz,config_energy_visual_field_left,16.793587997627878
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,Fz,config_energy_visual_field_right,9.792744073321119
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,Fz,triangle_left_preference,-263.486870855425
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,Fz,triangle_right_preference,-259.8473127052775
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F4,early_visual_field_left,103.71027584597908
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F4,early_visual_field_right,80.25959891916341
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F4,config_energy_visual_field_left,45.65309452538589
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F4,config_energy_visual_field_right,-84.72082106982717
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F4,triangle_left_preference,-149.05234362306993
VisualCogA_Task-2,first,effective_ridge_alpha_10,10.0,F4,triangle_right_preference,-536.2267297071745
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F3,early_visual_field_left,63.7319361395838
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F3,early_visual_field_right,74.31253865366128
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F3,config_energy_visual_field_left,-53.9970618379813
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F3,config_energy_visual_field_right,36.16617335602033
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F3,triangle_left_preference,-435.18274946503624
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F3,triangle_right_preference,-111.45060643112082
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,Fz,early_visual_field_left,77.91879908491559
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,Fz,early_visual_field_right,77.91879908491559
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,Fz,config_energy_visual_field_left,10.529109300153557
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,Fz,config_energy_visual_field_right,10.529109300153557
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,Fz,triangle_left_preference,-209.71608307866148
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,Fz,triangle_right_preference,-209.71608307866148
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F4,early_visual_field_left,74.31253865366128
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F4,early_visual_field_right,63.7319361395838
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F4,config_energy_visual_field_left,36.16617335602033
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F4,config_energy_visual_field_right,-53.9970618379813
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F4,triangle_left_preference,-111.45060643112082
VisualCogA_Task-2,second,legacy_fixed_G_train_scalar,,F4,triangle_right_preference,-435.18274946503624
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F3,early_visual_field_left,390.56277091680596
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F3,early_visual_field_right,693.8242906145491
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F3,config_energy_visual_field_left,-833.3188277127098
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F3,config_energy_visual_field_right,193.75736731687448
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F3,triangle_left_preference,-270.38999413544906
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F3,triangle_right_preference,-414.0027482794908
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,Fz,early_visual_field_left,481.6322816745976
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,Fz,early_visual_field_right,545.0758847614018
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,Fz,config_energy_visual_field_left,-587.6317841533375
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,Fz,config_energy_visual_field_right,-275.4497466161013
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,Fz,triangle_left_preference,-256.0492989303669
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,Fz,triangle_right_preference,-362.30724197393835
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F4,early_visual_field_left,688.5909391465109
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F4,early_visual_field_right,508.8286547384153
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F4,config_energy_visual_field_left,-527.7016328264347
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F4,config_energy_visual_field_right,-593.9926705379164
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F4,triangle_left_preference,-368.41937124535673
VisualCogA_Task-2,second,effective_ridge_alpha_0.1,0.1,F4,triangle_right_preference,-431.9199253841622
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,F3,early_visual_field_left,99.99387276249276
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,F3,early_visual_field_right,238.5888533138998
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,F3,config_energy_visual_field_left,-187.33314945802272
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,F3,config_energy_visual_field_right,137.3085591684638
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,F3,triangle_left_preference,-340.2679904510635
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,F3,triangle_right_preference,-217.82937254251905
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,Fz,early_visual_field_left,106.2976624076194
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,Fz,early_visual_field_right,135.79371087506553
VisualCogA_Task-2,second,effective_ridge_alpha_1,1.0,Fz,config_energy_visual_field_left,-140.89214476030003
