record,original_trial_index,q1_trial_index,q1_trial_key,q1_mapping_error_s,q1_final_drop,eeg_quality,q1_quality_pass
VisualCogA_Task-1,24,16.0,VisualCogA_Task-1:q1_016,0.0,0,retained_by_q1,True
VisualCogA_Task-1,25,,,,1,excluded_by_q1,False
VisualCogA_Task-1,26,,,,1,excluded_by_q1,False
VisualCogA_Task-1,27,,,,1,excluded_by_q1,False
VisualCogA_Task-1,28,17.0,VisualCogA_Task-1:q1_017,0.0,0,retained_by_q1,True
VisualCogA_Task-1,29,18.0,VisualCogA_Task-1:q1_018,0.0,0,retained_by_q1,True
VisualCogA_Task-1,30,19.0,VisualCogA_Task-1:q1_019,0.0,0,retained_by_q1,True
VisualCogA_Task-1,31,20.0,VisualCogA_Task-1:q1_020,0.0,0,retained_by_q1,True
VisualCogA_Task-1,32,21.0,VisualCogA_Task-1:q1_021,0.0,0,retained_by_q1,True
VisualCogA_Task-1,33,22.0,VisualCogA_Task-1:q1_022,0.0,0,retained_by_q1,True
VisualCogA_Task-1,34,23.0,VisualCogA_Task-1:q1_023,0.0,0,retained_by_q1,True
VisualCogA_Task-1,35,,,,1,excluded_by_q1,False
VisualCogA_Task-1,36,,,,1,excluded_by_q1,False
VisualCogA_Task-1,37,24.0,VisualCogA_Task-1:q1_024,0.0,0,retained_by_q1,True
VisualCogA_Task-1,38,,,,1,excluded_by_q1,False
VisualCogA_Task-1,39,,,,1,excluded_by_q1,False
VisualCogA_Task-1,40,,,,1,excluded_by_q1,False
VisualCogA_Task-1,41,25.0,VisualCogA_Task-1:q1_025,0.0,0,retained_by_q1,True
VisualCogA_Task-1,42,,,,1,excluded_by_q1,False
VisualCogA_Task-1,43,,,,1,excluded_by_q1,False
VisualCogA_Task-1,44,26.0,VisualCogA_Task-1:q1_026,0.0,0,retained_by_q1,True
VisualCogA_Task-1,45,,,,1,excluded_by_q1,False
VisualCogA_Task-1,46,27.0,VisualCogA_Task-1:q1_027,0.0,0,retained_by_q1,True
VisualCogA_Task-1,47,,,,1,excluded_by_q1,False
VisualCogA_Task-1,48,28.0,VisualCogA_Task-1:q1_028,0.0,0,retained_by_q1,True
VisualCogA_Task-1,49,29.0,VisualCogA_Task-1:q1_029,0.0,0,retained_by_q1,True
VisualCogA_Task-1,50,30.0,VisualCogA_Task-1:q1_030,0.0,0,retained_by_q1,True
VisualCogA_Task-1,51,,,,1,excluded_by_q1,False
VisualCogA_Task-1,52,,,,1,excluded_by_q1,False
VisualCogA_Task-1,53,,,,1,excluded_by_q1,False
VisualCogA_Task-1,54,31.0,VisualCogA_Task-1:q1_031,0.0,0,retained_by_q1,True
VisualCogA_Task-1,55,32.0,VisualCogA_Task-1:q1_032,0.0,0,retained_by_q1,True
VisualCogA_Task-1,56,,,,1,excluded_by_q1,False
VisualCogA_Task-1,57,33.0,VisualCogA_Task-1:q1_033,0.0,0,retained_by_q1,True
VisualCogA_Task-1,58,,,,1,excluded_by_q1,False
VisualCogA_Task-1,59,,,,1,excluded_by_q1,False
VisualCogA_Task-1,60,34.0,VisualCogA_Task-1:q1_034,0.0,0,retained_by_q1,True
VisualCogA_Task-1,61,,,,1,excluded_by_q1,False
VisualCogA_Task-1,62,,,,1,excluded_by_q1,False
VisualCogA_Task-1,63,,,,1,excluded_by_q1,False
VisualCogA_Task-1,64,35.0,VisualCogA_Task-1:q1_035,0.0,0,retained_by_q1,True
VisualCogA_Task-1,65,,,,1,excluded_by_q1,False
VisualCogA_Task-1,66,36.0,VisualCogA_Task-1:q1_036,0.0,0,retained_by_q1,True
VisualCogA_Task-1,67,,,,1,excluded_by_q1,False
VisualCogA_Task-1,68,37.0,VisualCogA_Task-1:q1_037,0.0,0,retained_by_q1,True
VisualCogA_Task-1,69,38.0,VisualCogA_Task-1:q1_038,0.0,0,retained_by_q1,True
VisualCogA_Task-1,70,,,,1,excluded_by_q1,False
VisualCogA_Task-1,71,39.0,VisualCogA_Task-1:q1_039,0.0,0,retained_by_q1,True
VisualCogA_Task-1,72,40.0,VisualCogA_Task-1:q1_040,0.0,0,retained_by_q1,True
VisualCogA_Task-1,73,41.0,VisualCogA_Task-1:q1_041,0.0,0,retained_by_q1,True
VisualCogA_Task-1,74,42.0,VisualCogA_Task-1:q1_042,0.0,0,retained_by_q1,True
VisualCogA_Task-1,75,43.0,VisualCogA_Task-1:q1_043,0.0,0,retained_by_q1,True
VisualCogA_Task-1,76,,,,1,excluded_by_q1,False
VisualCogA_Task-1,77,,,,1,excluded_by_q1,False
VisualCogA_Task-1,78,44.0,VisualCogA_Task-1:q1_044,0.0,0,retained_by_q1,True
VisualCogA_Task-1,79,45.0,VisualCogA_Task-1:q1_045,0.0,0,retained_by_q1,True
VisualCogA_Task-1,80,,,,1,excluded_by_q1,False
VisualCogA_Task-1,81,46.0,VisualCogA_Task-1:q1_046,0.0,0,retained_by_q1,True
VisualCogA_Task-1,82,,,,1,excluded_by_q1,False
VisualCogA_Task-1,83,,,,1,excluded_by_q1,False
VisualCogA_Task-1,84,47.0,VisualCogA_Task-1:q1_047,0.0,0,retained_by_q1,True
VisualCogA_Task-1,85,,,,1,excluded_by_q1,False
VisualCogA_Task-1,86,,,,1,excluded_by_q1,False
VisualCogA_Task-1,87,,,,1,excluded_by_q1,False
VisualCogA_Task-1,88,,,,1,excluded_by_q1,False
VisualCogA_Task-1,89,48.0,VisualCogA_Task-1:q1_048,0.0,0,retained_by_q1,True
VisualCogA_Task-1,90,49.0,VisualCogA_Task-1:q1_049,0.0,0,retained_by_q1,True
VisualCogA_Task-1,91,50.0,VisualCogA_Task-1:q1_050,0.0,0,retained_by_q1,True
VisualCogA_Task-1,92,,,,1,excluded_by_q1,False
VisualCogA_Task-1,93,51.0,VisualCogA_Task-1:q1_051,0.0,0,retained_by_q1,True
VisualCogA_Task-1,94,52.0,VisualCogA_Task-1:q1_052,0.0,0,retained_by_q1,True
VisualCogA_Task-1,95,,,,1,excluded_by_q1,False
VisualCogA_Task-1,96,,,,1,excluded_by_q1,False
VisualCogA_Task-1,97,,,,1,excluded_by_q1,False
VisualCogA_Task-1,98,,,,1,excluded_by_q1,False
VisualCogA_Task-1,99,53.0,VisualCogA_Task-1:q1_053,0.0,0,retained_by_q1,True
VisualCogA_Task-2,0,0.0,VisualCogA_Task-2:q1_000,0.0,0,retained_by_q1,True
VisualCogA_Task-2,1,1.0,VisualCogA_Task-2:q1_001,0.0,0,retained_by_q1,True
VisualCogA_Task-2,2,2.0,VisualCogA_Task-2:q1_002,0.0,0,retained_by_q1,True
VisualCogA_Task-2,3,3.0,VisualCogA_Task-2:q1_003,0.0,0,retained_by_q1,True
VisualCogA_Task-2,4,4.0,VisualCogA_Task-2:q1_004,0.0,0,retained_by_q1,True
VisualCogA_Task-2,5,5.0,VisualCogA_Task-2:q1_005,0.0,0,retained_by_q1,True
VisualCogA_Task-2,6,6.0,VisualCogA_Task-2:q1_006,0.0,0,retained_by_q1,True
VisualCogA_Task-2,7,7.0,VisualCogA_Task-2:q1_007,0.0,0,retained_by_q1,True
VisualCogA_Task-2,8,8.0,VisualCogA_Task-2:q1_008,0.0,0,retained_by_q1,True
VisualCogA_Task-2,9,9.0,VisualCogA_Task-2:q1_009,0.0,0,retained_by_q1,True
VisualCogA_Task-2,10,10.0,VisualCogA_Task-2:q1_010,0.0,0,retained_by_q1,True
VisualCogA_Task-2,11,11.0,VisualCogA_Task-2:q1_011,0.0,0,retained_by_q1,True
VisualCogA_Task-2,12,12.0,VisualCogA_Task-2:q1_012,0.0,0,retained_by_q1,True
VisualCogA_Task-2,13,13.0,VisualCogA_Task-2:q1_013,0.0,0,retained_by_q1,True
VisualCogA_Task-2,14,14.0,VisualCogA_Task-2:q1_014,0.0,0,retained_by_q1,True
VisualCogA_Task-2,15,15.0,VisualCogA_Task-2:q1_015,0.0,0,retained_by_q1,True
VisualCogA_Task-2,16,16.0,VisualCogA_Task-2:q1_016,0.0,0,retained_by_q1,True
VisualCogA_Task-2,17,17.0,VisualCogA_Task-2:q1_017,0.0,0,retained_by_q1,True
VisualCogA_Task-2,18,18.0,VisualCogA_Task-2:q1_018,0.0,0,retained_by_q1,True
VisualCogA_Task-2,19,19.0,VisualCogA_Task-2:q1_019,0.0,0,retained_by_q1,True
VisualCogA_Task-2,20,20.0,VisualCogA_Task-2:q1_020,0.0,0,retained_by_q1,True
VisualCogA_Task-2,21,21.0,VisualCogA_Task-2:q1_021,0.0,0,retained_by_q1,True
VisualCogA_Task-2,22,,,,1,excluded_by_q1,False
VisualCogA_Task-2,23,22.0,VisualCogA_Task-2:q1_022,0.0,0,retained_by_q1,True
VisualCogA_Task-2,24,23.0,VisualCogA_Task-2:q1_023,0.0,0,retained_by_q1,True
VisualCogA_Task-2,25,24.0,VisualCogA_Task-2:q1_024,0.0,0,retained_by_q1,True
VisualCogA_Task-2,26,25.0,VisualCogA_Task-2:q1_025,0.0,0,retained_by_q1,True
VisualCogA_Task-2,27,26.0,VisualCogA_Task-2:q1_026,0.0,0,retained_by_q1,True
VisualCogA_Task-2,28,27.0,VisualCogA_Task-2:q1_027,0.0,0,retained_by_q1,True
VisualCogA_Task-2,29,,,,1,excluded_by_q1,False
VisualCogA_Task-2,30,,,,1,excluded_by_q1,False
VisualCogA_Task-2,31,28.0,VisualCogA_Task-2:q1_028,0.0,0,retained_by_q1,True
VisualCogA_Task-2,32,,,,1,excluded_by_q1,False
VisualCogA_Task-2,33,,,,1,excluded_by_q1,False
VisualCogA_Task-2,34,,,,1,excluded_by_q1,False
VisualCogA_Task-2,35,29.0,VisualCogA_Task-2:q1_029,0.0,0,retained_by_q1,True
VisualCogA_Task-2,36,30.0,VisualCogA_Task-2:q1_030,0.0,0,retained_by_q1,True
VisualCogA_Task-2,37,31.0,VisualCogA_Task-2:q1_031,0.0,0,retained_by_q1,True
VisualCogA_Task-2,38,,,,1,excluded_by_q1,False
VisualCogA_Task-2,39,32.0,VisualCogA_Task-2:q1_032,0.0,0,retained_by_q1,True
VisualCogA_Task-2,40,,,,1,excluded_by_q1,False
VisualCogA_Task-2,41,33.0,VisualCogA_Task-2:q1_033,0.0,0,retained_by_q1,True
VisualCogA_Task-2,42,,,,1,excluded_by_q1,False
VisualCogA_Task-2,43,34.0,VisualCogA_Task-2:q1_034,0.0,0,retained_by_q1,True
VisualCogA_Task-2,44,,,,1,excluded_by_q1,False
VisualCogA_Task-2,45,35.0,VisualCogA_Task-2:q1_035,0.0,0,retained_by_q1,True
VisualCogA_Task-2,46,36.0,VisualCogA_Task-2:q1_036,0.0,0,retained_by_q1,True
VisualCogA_Task-2,47,37.0,VisualCogA_Task-2:q1_037,0.0,0,retained_by_q1,True
VisualCogA_Task-2,48,38.0,VisualCogA_Task-2:q1_038,0.0,0,retained_by_q1,True
VisualCogA_Task-2,49,39.0,VisualCogA_Task-2:q1_039,0.0,0,retained_by_q1,True
VisualCogA_Task-2,50,,,,1,excluded_by_q1,False
VisualCogA_Task-2,51,40.0,VisualCogA_Task-2:q1_040,0.0,0,retained_by_q1,True
VisualCogA_Task-2,52,41.0,VisualCogA_Task-2:q1_041,0.0,0,retained_by_q1,True
VisualCogA_Task-2,53,42.0,VisualCogA_Task-2:q1_042,0.0,0,retained_by_q1,True
VisualCogA_Task-2,54,43.0,VisualCogA_Task-2:q1_043,0.0,0,retained_by_q1,True
VisualCogA_Task-2,55,44.0,VisualCogA_Task-2:q1_044,0.0,0,retained_by_q1,True
VisualCogA_Task-2,56,45.0,VisualCogA_Task-2:q1_045,0.0,0,retained_by_q1,True
VisualCogA_Task-2,57,46.0,VisualCogA_Task-2:q1_046,0.0,0,retained_by_q1,True
VisualCogA_Task-2,58,47.0,VisualCogA_Task-2:q1_047,0.0,0,retained_by_q1,True
VisualCogA_Task-2,59,,,,1,excluded_by_q1,False
VisualCogA_Task-2,60,48.0,VisualCogA_Task-2:q1_048,0.0,0,retained_by_q1,True
VisualCogA_Task-2,61,,,,1,excluded_by_q1,False
VisualCogA_Task-2,62,,,,1,excluded_by_q1,False
VisualCogA_Task-2,63,49.0,VisualCogA_Task-2:q1_049,0.0,0,retained_by_q1,True
VisualCogA_Task-2,64,50.0,VisualCogA_Task-2:q1_050,0.0,0,retained_by_q1,True
VisualCogA_Task-2,65,51.0,VisualCogA_Task-2:q1_051,0.0,0,retained_by_q1,True
VisualCogA_Task-2,66,52.0,VisualCogA_Task-2:q1_052,0.0,0,retained_by_q1,True
VisualCogA_Task-2,67,,,,1,excluded_by_q1,False
VisualCogA_Task-2,68,53.0,VisualCogA_Task-2:q1_053,0.0,0,retained_by_q1,True
VisualCogA_Task-2,69,54.0,VisualCogA_Task-2:q1_054,0.0,0,retained_by_q1,True
VisualCogA_Task-2,70,55.0,VisualCogA_Task-2:q1_055,0.0,0,retained_by_q1,True
VisualCogA_Task-2,71,56.0,VisualCogA_Task-2:q1_056,0.0,0,retained_by_q1,True
VisualCogA_Task-2,72,57.0,VisualCogA_Task-2:q1_057,0.0,0,retained_by_q1,True
VisualCogA_Task-2,73,58.0,VisualCogA_Task-2:q1_058,0.0,0,retained_by_q1,True
VisualCogA_Task-2,74,59.0,VisualCogA_Task-2:q1_059,0.0,0,retained_by_q1,True
VisualCogA_Task-2,75,60.0,VisualCogA_Task-2:q1_060,0.0,0,retained_by_q1,True
VisualCogA_Task-2,76,61.0,VisualCogA_Task-2:q1_061,0.0,0,retained_by_q1,True
VisualCogA_Task-2,77,,,,1,excluded_by_q1,False
VisualCogA_Task-2,78,62.0,VisualCogA_Task-2:q1_062,0.0,0,retained_by_q1,True
VisualCogA_Task-2,79,,,,1,excluded_by_q1,False
VisualCogA_Task-2,80,63.0,VisualCogA_Task-2:q1_063,0.0,0,retained_by_q1,True
VisualCogA_Task-2,81,64.0,VisualCogA_Task-2:q1_064,0.0,0,retained_by_q1,True
VisualCogA_Task-2,82,65.0,VisualCogA_Task-2:q1_065,0.0,0,retained_by_q1,True
VisualCogA_Task-2,83,66.0,VisualCogA_Task-2:q1_066,0.0,0,retained_by_q1,True
VisualCogA_Task-2,84,67.0,VisualCogA_Task-2:q1_067,0.0,0,retained_by_q1,True
VisualCogA_Task-2,85,,,,1,excluded_by_q1,False
VisualCogA_Task-2,86,68.0,VisualCogA_Task-2:q1_068,0.0,0,retained_by_q1,True
VisualCogA_Task-2,87,69.0,VisualCogA_Task-2:q1_069,0.0,0,retained_by_q1,True
VisualCogA_Task-2,88,70.0,VisualCogA_Task-2:q1_070,0.0,0,retained_by_q1,True
VisualCogA_Task-2,89,71.0,VisualCogA_Task-2:q1_071,0.0,0,retained_by_q1,True
VisualCogA_Task-2,90,72.0,VisualCogA_Task-2:q1_072,0.0,0,retained_by_q1,True
VisualCogA_Task-2,91,73.0,VisualCogA_Task-2:q1_073,0.0,0,retained_by_q1,True
VisualCogA_Task-2,92,74.0,VisualCogA_Task-2:q1_074,0.0,0,retained_by_q1,True
VisualCogA_Task-2,93,,,,1,excluded_by_q1,False
VisualCogA_Task-2,94,75.0,VisualCogA_Task-2:q1_075,0.0,0,retained_by_q1,True
VisualCogA_Task-2,95,76.0,VisualCogA_Task-2:q1_076,0.0,0,retained_by_q1,True
VisualCogA_Task-2,96,77.0,VisualCogA_Task-2:q1_077,0.0,0,retained_by_q1,True
VisualCogA_Task-2,97,78.0,VisualCogA_Task-2:q1_078,0.0,0,retained_by_q1,True
VisualCogA_Task-2,98,79.0,VisualCogA_Task-2:q1_079,0.0,0,retained_by_q1,True
VisualCogA_Task-2,99,,,,1,excluded_by_q1,False
VisualCogB_Task-1,0,0.0,VisualCogB_Task-1:q1_000,0.0,0,retained_by_q1,True
VisualCogB_Task-1,1,1.0,VisualCogB_Task-1:q1_001,0.0,0,retained_by_q1,True
VisualCogB_Task-1,2,2.0,VisualCogB_Task-1:q1_002,0.0,0,retained_by_q1,True
VisualCogB_Task-1,3,3.0,VisualCogB_Task-1:q1_003,0.0,0,retained_by_q1,True
VisualCogB_Task-1,4,4.0,VisualCogB_Task-1:q1_004,0.0,0,retained_by_q1,True
VisualCogB_Task-1,5,,,,1,excluded_by_q1,False
VisualCogB_Task-1,6,5.0,VisualCogB_Task-1:q1_005,0.0,0,retained_by_q1,True
VisualCogB_Task-1,7,6.0,VisualCogB_Task-1:q1_006,0.0,0,retained_by_q1,True
VisualCogB_Task-1,8,7.0,VisualCogB_Task-1:q1_007,0.0,0,retained_by_q1,True
VisualCogB_Task-1,9,8.0,VisualCogB_Task-1:q1_008,0.0,0,retained_by_q1,True
VisualCogB_Task-1,10,9.0,VisualCogB_Task-1:q1_009,0.0,0,retained_by_q1,True
VisualCogB_Task-1,11,10.0,VisualCogB_Task-1:q1_010,0.0,0,retained_by_q1,True
VisualCogB_Task-1,12,11.0,VisualCogB_Task-1:q1_011,0.0,0,retained_by_q1,True
VisualCogB_Task-1,13,,,,1,excluded_by_q1,False
VisualCogB_Task-1,14,12.0,VisualCogB_Task-1:q1_012,0.0,0,retained_by_q1,True
VisualCogB_Task-1,15,13.0,VisualCogB_Task-1:q1_013,0.0,0,retained_by_q1,True
VisualCogB_Task-1,16,14.0,VisualCogB_Task-1:q1_014,0.0,0,retained_by_q1,True
VisualCogB_Task-1,17,15.0,VisualCogB_Task-1:q1_015,0.0,0,retained_by_q1,True
VisualCogB_Task-1,18,16.0,VisualCogB_Task-1:q1_016,0.0,0,retained_by_q1,True
VisualCogB_Task-1,19,17.0,VisualCogB_Task-1:q1_017,0.0,0,retained_by_q1,True
VisualCogB_Task-1,20,18.0,VisualCogB_Task-1:q1_018,0.0,0,retained_by_q1,True
VisualCogB_Task-1,21,19.0,VisualCogB_Task-1:q1_019,0.0,0,retained_by_q1,True
VisualCogB_Task-1,22,,,,1,excluded_by_q1,False
VisualCogB_Task-1,23,20.0,VisualCogB_Task-1:q1_020,0.0,0,retained_by_q1,True
VisualCogB_Task-1,24,,,,1,excluded_by_q1,False
VisualCogB_Task-1,25,21.0,VisualCogB_Task-1:q1_021,0.0,0,retained_by_q1,True
VisualCogB_Task-1,26,22.0,VisualCogB_Task-1:q1_022,0.0,0,retained_by_q1,True
VisualCogB_Task-1,27,23.0,VisualCogB_Task-1:q1_023,0.0,0,retained_by_q1,True
VisualCogB_Task-1,28,24.0,VisualCogB_Task-1:q1_024,0.0,0,retained_by_q1,True
VisualCogB_Task-1,29,25.0,VisualCogB_Task-1:q1_025,0.0,0,retained_by_q1,True
VisualCogB_Task-1,30,26.0,VisualCogB_Task-1:q1_026,0.0,0,retained_by_q1,True
VisualCogB_Task-1,31,27.0,VisualCogB_Task-1:q1_027,0.0,0,retained_by_q1,True
VisualCogB_Task-1,32,28.0,VisualCogB_Task-1:q1_028,0.0,0,retained_by_q1,True
VisualCogB_Task-1,33,29.0,VisualCogB_Task-1:q1_029,0.0,0,retained_by_q1,True
VisualCogB_Task-1,34,30.0,VisualCogB_Task-1:q1_030,0.0,0,retained_by_q1,True
VisualCogB_Task-1,35,,,,1,excluded_by_q1,False
VisualCogB_Task-1,36,31.0,VisualCogB_Task-1:q1_031,0.0,0,retained_by_q1,True
VisualCogB_Task-1,37,32.0,VisualCogB_Task-1:q1_032,0.0,0,retained_by_q1,True
VisualCogB_Task-1,38,33.0,VisualCogB_Task-1:q1_033,0.0,0,retained_by_q1,True
VisualCogB_Task-1,39,34.0,VisualCogB_Task-1:q1_034,0.0,0,retained_by_q1,True
VisualCogB_Task-1,40,35.0,VisualCogB_Task-1:q1_035,0.0,0,retained_by_q1,True
VisualCogB_Task-1,41,36.0,VisualCogB_Task-1:q1_036,0.0,0,retained_by_q1,True
VisualCogB_Task-1,42,37.0,VisualCogB_Task-1:q1_037,0.0,0,retained_by_q1,True
VisualCogB_Task-1,43,38.0,VisualCogB_Task-1:q1_038,0.0,0,retained_by_q1,True
VisualCogB_Task-1,44,39.0,VisualCogB_Task-1:q1_039,0.0,0,retained_by_q1,True
VisualCogB_Task-1,45,,,,1,excluded_by_q1,False
VisualCogB_Task-1,46,,,,1,excluded_by_q1,False
VisualCogB_Task-1,47,40.0,VisualCogB_Task-1:q1_040,0.0,0,retained_by_q1,True
VisualCogB_Task-1,48,41.0,VisualCogB_Task-1:q1_041,0.0,0,retained_by_q1,True
VisualCogB_Task-1,49,42.0,VisualCogB_Task-1:q1_042,0.0,0,retained_by_q1,True
VisualCogB_Task-1,50,43.0,VisualCogB_Task-1:q1_043,0.0,0,retained_by_q1,True
VisualCogB_Task-1,51,44.0,VisualCogB_Task-1:q1_044,0.0,0,retained_by_q1,True
VisualCogB_Task-1,52,45.0,VisualCogB_Task-1:q1_045,0.0,0,retained_by_q1,True
VisualCogB_Task-1,53,,,,1,excluded_by_q1,False
VisualCogB_Task-1,54,46.0,VisualCogB_Task-1:q1_046,0.0,0,retained_by_q1,True
VisualCogB_Task-1,55,47.0,VisualCogB_Task-1:q1_047,0.0,0,retained_by_q1,True
VisualCogB_Task-1,56,48.0,VisualCogB_Task-1:q1_048,0.0,0,retained_by_q1,True
VisualCogB_Task-1,57,,,,1,excluded_by_q1,False
VisualCogB_Task-1,58,49.0,VisualCogB_Task-1:q1_049,0.0,0,retained_by_q1,True
VisualCogB_Task-1,59,50.0,VisualCogB_Task-1:q1_050,0.0,0,retained_by_q1,True
VisualCogB_Task-1,60,51.0,VisualCogB_Task-1:q1_051,0.0,0,retained_by_q1,True
VisualCogB_Task-1,61,52.0,VisualCogB_Task-1:q1_052,0.0,0,retained_by_q1,True
VisualCogB_Task-1,62,,,,1,excluded_by_q1,False
VisualCogB_Task-1,63,53.0,VisualCogB_Task-1:q1_053,0.0,0,retained_by_q1,True
VisualCogB_Task-1,64,54.0,VisualCogB_Task-1:q1_054,0.0,0,retained_by_q1,True
VisualCogB_Task-1,65,,,,1,excluded_by_q1,False
VisualCogB_Task-1,66,55.0,VisualCogB_Task-1:q1_055,0.0,0,retained_by_q1,True
VisualCogB_Task-1,67,56.0,VisualCogB_Task-1:q1_056,0.0,0,retained_by_q1,True
VisualCogB_Task-1,68,57.0,VisualCogB_Task-1:q1_057,0.0,0,retained_by_q1,True
VisualCogB_Task-1,69,58.0,VisualCogB_Task-1:q1_058,0.0,0,retained_by_q1,True
VisualCogB_Task-1,70,,,,1,excluded_by_q1,False
VisualCogB_Task-1,71,59.0,VisualCogB_Task-1:q1_059,0.0,0,retained_by_q1,True
VisualCogB_Task-1,72,60.0,VisualCogB_Task-1:q1_060,0.0,0,retained_by_q1,True
VisualCogB_Task-1,73,61.0,VisualCogB_Task-1:q1_061,0.0,0,retained_by_q1,True
VisualCogB_Task-1,74,62.0,VisualCogB_Task-1:q1_062,0.0,0,retained_by_q1,True
VisualCogB_Task-1,75,63.0,VisualCogB_Task-1:q1_063,0.0,0,retained_by_q1,True
VisualCogB_Task-1,76,64.0,VisualCogB_Task-1:q1_064,0.0,0,retained_by_q1,True
VisualCogB_Task-1,77,,,,1,excluded_by_q1,False
VisualCogB_Task-1,78,65.0,VisualCogB_Task-1:q1_065,0.0,0,retained_by_q1,True
VisualCogB_Task-1,79,66.0,VisualCogB_Task-1:q1_066,0.0,0,retained_by_q1,True
VisualCogB_Task-1,80,67.0,VisualCogB_Task-1:q1_067,0.0,0,retained_by_q1,True
VisualCogB_Task-1,81,68.0,VisualCogB_Task-1:q1_068,0.0,0,retained_by_q1,True
VisualCogB_Task-1,82,69.0,VisualCogB_Task-1:q1_069,0.0,0,retained_by_q1,True
VisualCogB_Task-1,83,70.0,VisualCogB_Task-1:q1_070,0.0,0,retained_by_q1,True
VisualCogB_Task-1,84,,,,1,excluded_by_q1,False
VisualCogB_Task-1,85,71.0,VisualCogB_Task-1:q1_071,0.0,0,retained_by_q1,True
VisualCogB_Task-1,86,72.0,VisualCogB_Task-1:q1_072,0.0,0,retained_by_q1,True
VisualCogB_Task-1,87,,,,1,excluded_by_q1,False
VisualCogB_Task-1,88,73.0,VisualCogB_Task-1:q1_073,0.0,0,retained_by_q1,True
VisualCogB_Task-1,89,74.0,VisualCogB_Task-1:q1_074,0.0,0,retained_by_q1,True
VisualCogB_Task-1,90,75.0,VisualCogB_Task-1:q1_075,0.0,0,retained_by_q1,True
VisualCogB_Task-1,91,,,,1,excluded_by_q1,False
VisualCogB_Task-1,92,76.0,VisualCogB_Task-1:q1_076,0.0,0,retained_by_q1,True
VisualCogB_Task-1,93,77.0,VisualCogB_Task-1:q1_077,0.0,0,retained_by_q1,True
VisualCogB_Task-1,94,78.0,VisualCogB_Task-1:q1_078,0.0,0,retained_by_q1,True
VisualCogB_Task-1,95,79.0,VisualCogB_Task-1:q1_079,0.0,0,retained_by_q1,True
VisualCogB_Task-1,96,,,,1,excluded_by_q1,False
VisualCogB_Task-1,97,80.0,VisualCogB_Task-1:q1_080,0.0,0,retained_by_q1,True
VisualCogB_Task-1,98,81.0,VisualCogB_Task-1:q1_081,0.0,0,retained_by_q1,True
VisualCogB_Task-1,99,82.0,VisualCogB_Task-1:q1_082,0.0,0,retained_by_q1,True
VisualCogB_Task-2,0,0.0,VisualCogB_Task-2:q1_000,0.0,0,retained_by_q1,True
VisualCogB_Task-2,1,,,,1,excluded_by_q1,False
VisualCogB_Task-2,2,1.0,VisualCogB_Task-2:q1_001,0.0,0,retained_by_q1,True
VisualCogB_Task-2,3,2.0,VisualCogB_Task-2:q1_002,0.0,0,retained_by_q1,True
VisualCogB_Task-2,4,3.0,VisualCogB_Task-2:q1_003,0.0,0,retained_by_q1,True
VisualCogB_Task-2,5,4.0,VisualCogB_Task-2:q1_004,0.0,0,retained_by_q1,True
VisualCogB_Task-2,6,,,,1,excluded_by_q1,False
