任务,时间_ms,条件,电极,任务均值_第一问样条,任务均值_实测ERP,任务模型拟合
任务一,31.25,右提示,F3,1.7334985568153192,2.6428999936665933,-8.455201499410562
任务一,31.25,右提示,Fz,0.5104850623725763,1.2494335305447364,-8.916778171461281
任务一,31.25,右提示,F4,4.758355116226445,5.91829900136038,-11.539103039077716
任务一,39.0625,左提示,F3,-2.4093698317500327,-2.8570045072716406,-9.682390094304392
任务一,39.0625,左提示,Fz,0.4175798604661715,-0.025059336696571677,-10.040938180255898
任务一,39.0625,左提示,F4,-2.8019323137043055,-2.7816402133380778,-13.31162330145566
任务一,39.0625,右提示,F3,1.7758435039442109,3.32075404631994,-9.905375302202486
任务一,39.0625,右提示,Fz,0.42698164468816735,1.6917094933996437,-10.168586193046172
任务一,39.0625,右提示,F4,4.925439661692902,6.393056408435276,-13.385764133160848
任务一,46.875,左提示,F3,-2.454384351194364,-2.9978026755022693,-7.660594177504519
任务一,46.875,左提示,Fz,0.5279339081479056,-0.14118790244023272,-7.499677612644051
任务一,46.875,左提示,F4,-2.842392525787403,-3.1733258924171315,-10.433549074190491
任务一,46.875,右提示,F3,1.869363352008211,3.3522270631090287,-8.159119258305557
任务一,46.875,右提示,Fz,0.38182360001988136,1.4646461606546057,-7.912467651005375
任务一,46.875,右提示,F4,5.10816666910411,6.116840494533432,-10.976336855554777
任务一,54.6875,左提示,F3,-2.4881794148143093,-2.929444617446384,-2.890269025625856
任务一,54.6875,左提示,Fz,0.6584495662376447,0.09030823193333984,-1.8978051313377835
任务一,54.6875,左提示,F4,-2.870405225844692,-3.3530325680131194,-3.6771976074650947
任务一,54.6875,右提示,F3,2.027648351447258,2.6894424696761523,-3.594140013676836
任务一,54.6875,右提示,Fz,0.38768547137707676,0.6453950233060031,-2.6271304665465443
任务一,54.6875,右提示,F4,5.315410462328552,5.456235975359352,-4.876717161279409
任务一,62.5,左提示,F3,-2.51186557534339,-2.5313294856656046,2.5645756802762607
任务一,62.5,左提示,Fz,0.8102891281955127,0.70453276662633,4.435875888497547
任务一,62.5,左提示,F4,-2.887430660337187,-3.213750769833275,4.090092394597082
任务一,62.5,右提示,F3,2.264288752701291,1.9153167384723981,1.9169568301158937
任务一,62.5,右提示,Fz,0.45724180176911067,-0.12395193563664808,3.5662170513701863
任务一,62.5,右提示,F4,5.556045365234714,5.06995474640749,2.3996402446218994
任务一,70.3125,左提示,F3,-2.5267565716502114,-1.8953549470835576,6.6072670117362104
任务一,70.3125,左提示,Fz,0.984153219806212,1.5459239964108205,9.113850925086437
任务一,70.3125,左提示,F4,-2.894982814703918,-2.7991846018237467,9.90384656007674
任务一,70.3125,右提示,F3,2.5909028478090455,1.736126200112444,6.376702229163935
任务一,70.3125,右提示,Fz,0.6014148198827709,-0.25557750685431047,8.441016687467366
任务一,70.3125,右提示,F4,5.837826208351011,5.248474480110401,8.229800999365777
任务一,78.125,左提示,F3,-2.536036493112131,-1.3752840210324444,8.286420141567667
任务一,78.125,左提示,Fz,1.1764927656078075,2.2836194253151016,11.045388990288062
任务一,78.125,左提示,F4,-2.8950703475309556,-2.2854140438294213,12.388075698247297
任务一,78.125,右提示,F3,3.000956836899759,2.3425621206000224,8.785862927752982
任务一,78.125,右提示,Fz,0.8149965101673233,0.2738568519639346,10.919128297936004
任务一,78.125,右提示,F4,6.158202764052311,5.761541132136726,11.340819324501737
任务一,85.9375,左提示,F3,-2.5438974216309216,-1.3272397105180844,7.8817275798038064
任务一,85.9375,左提示,Fz,1.3814683883646515,2.6095369032666507,10.555769363425622
任务一,85.9375,左提示,F4,-2.8899685128002126,-1.943813220129348,11.913881131857318
任务一,85.9375,右提示,F3,3.4781341692964,3.263366670151914,9.27959118025046
任务一,85.9375,右提示,Fz,1.0840857455228687,0.9602717900822368,11.205711979369921
任务一,85.9375,右提示,F4,6.509071074792814,6.227054925577205,11.94614141785295
任务一,93.75,左提示,F3,-2.554541209140397,-1.810615063904108,6.235138136942783
任务一,93.75,左提示,Fz,1.5932185119446052,2.4393035704690607,8.625406418227492
任务一,93.75,左提示,F4,-2.881955148486538,-2.022377142382193,9.668954250210136
任务一,93.75,右提示,F3,4.006023474383785,3.8669141666162723,8.547459497639812
任务一,93.75,右提示,Fz,1.3946971403095803,1.289135574422488,10.118652249967791
任务一,93.75,右提示,F4,6.882273353144098,6.45284942148105,10.961038631384035
任务一,101.5625,左提示,F3,-2.572169707574373,-2.5633256771874318,4.114989482762908
任务一,101.5625,左提示,Fz,1.805881560215531,1.9805952877603392,6.152964005364516
任务一,101.5625,左提示,F4,-2.8733080925647787,-2.566402137859228,6.748943366011961
任务一,101.5625,右提示,F3,4.568213381546732,4.015636460293768,7.257911522741014
任务一,101.5625,右提示,Fz,1.7328453088876303,1.2150847862822571,8.432478361652128
任务一,101.5625,右提示,F4,7.269651811677743,6.522557623051079,9.250412279782823
任务一,109.375,左提示,F3,-2.6009847688666645,-3.2626528499433367,1.9716675965807855
任务一,109.375,左提示,Fz,2.013595957045291,1.5385822490489978,3.6655981378237463
任务一,109.375,左提示,F4,-2.8663051830097785,-3.3120078180105557,3.7984797246739372
任务一,109.375,右提示,F3,5.148292520170057,4.112603950861327,5.819286915101525
任务一,109.375,右提示,Fz,2.0845448656171923,1.1322583179082846,6.612404340986428
任务一,109.375,右提示,F4,7.663048662965332,6.670602752070826,7.332575734720341
任务一,117.1875,左提示,F3,-2.64518824495109,-3.719346604320572,0.017464066701507294
任务一,117.1875,左提示,Fz,2.2105001263017483,1.3139374323439055,1.4093828515422633
任务一,117.1875,左提示,F4,-2.8632242577963867,-3.8790919305190004,1.1187444396905037
任务一,117.1875,右提示,F3,5.729849519638582,4.597703954734179,4.4395108559143095
任务一,117.1875,右提示,Fz,2.43581042485844,1.4166436356972125,4.889061977370389
任务一,117.1875,右提示,F4,8.054306119578449,7.06267510974097,5.46787878545672
任务一,125.0,左提示,F3,-2.70898198776146,-3.8254232113399573,-1.6483433195391182
任务一,125.0,左提示,Fz,2.3907324918527646,1.3536802703500703,-0.5041542647706608
任务一,125.0,左提示,F4,-2.866343154899451,-4.011778239033843,-1.1525340414674394
任务一,125.0,右提示,F3,6.296473009337124,5.486327743469633,3.227749136946937
任务一,125.0,右提示,Fz,2.772656600971546,2.0335674743582035,3.379415784398332
任务一,125.0,右提示,F4,8.435266394088671,7.619307532568166,3.7951745461992616
任务一,132.8125,左提示,F3,-2.7965678492315913,-3.5478287710089758,-2.9670892583043846
任务一,132.8125,左提示,Fz,2.548431477566201,1.6586157802848118,-2.010377156897615
任务一,132.8125,左提示,F4,-2.8779397122938146,-3.7285195226018466,-2.934895688739398
任务一,132.8125,右提示,F3,6.831751618650495,6.453546650494314,2.2584998271220287
任务一,132.8125,右提示,Fz,3.0810980083166815,2.635049739207538,2.1616055131940763
任务一,132.8125,右提示,F4,8.79777169906758,8.159925122856421,2.411817178061603
任务一,140.625,左提示,F3,-2.9121476812953024,-3.033632089312204,-3.926659640609509
任务一,140.625,左提示,Fz,2.6777355073099214,2.1781257382799275,-3.0974503499462673
任务一,140.625,左提示,F4,-2.9002917679543305,-3.2326431207524804,-4.211683638990396
任务一,140.625,右提示,F3,7.319273976963522,7.237256173676679,1.5611799237487878
任务一,140.625,右提示,Fz,3.347149261254021,3.0207268147605006,1.2640002124157006
任务一,140.625,右提示,F4,9.13366424708676,8.646540274692454,1.3586241727033168
任务一,148.4375,左提示,F3,-3.0599233358864044,-2.6059691055055056,-4.554251229619989
任务一,148.4375,左提示,Fz,2.7727830049517865,2.76151507828735,-3.797390339144106
任务一,148.4375,左提示,F4,-2.935677159855837,-2.7806203959875884,-5.020809054561315
任务一,148.4375,右提示,F3,7.7426287136610155,7.844716993805539,1.128342768555012
任务一,148.4375,右提示,Fz,3.556824974143738,3.320982867467727,0.6743110922408971
任务一,148.4375,右提示,F4,9.434786250717785,9.174050533578828,0.6283658847964522
任务一,156.25,左提示,F3,-3.2439163815638263,-2.5551802501243706,-4.9125323821882025
任务一,156.25,左提示,Fz,2.8279136191111967,3.156779433746288,-4.182976840390192
任务一,156.25,左提示,F4,-2.9862542538096513,-2.557705116188968,-5.449944539796505
任务一,156.25,右提示,F3,8.08572666810307,8.372787605972537,0.9151743905554597
任务一,156.25,右提示,Fz,3.6964547246068173,3.73640705387524,0.3392615956248505
任务一,156.25,右提示,F4,9.693186806513344,9.756436898041695,0.1663686985664257
任务一,164.0625,左提示,F3,-3.4601240336833445,-2.9068455686023875,-5.063861081909208
任务一,164.0625,左提示,Fz,2.846423445337531,3.238546698238565,-4.32614398379672
任务一,164.0625,左提示,F4,-3.048863749265691,-2.62674368458189,-5.586511657918433
任务一,164.0625,右提示,F3,8.34682013874888,8.900719349115514,0.8756646399083409
任务一,164.0625,右提示,Fz,3.766387000506781,4.317723203235402,0.20498270661678286
任务一,164.0625,右提示,F4,9.910123348386291,10.381373350002862,-0.08371343096344351
任务一,171.875,左提示,F3,-3.6934905918533962,-3.4569766936505424,-5.063006957881953
任务一,171.875,左提示,Fz,2.8439453807648656,3.100849583815892,-4.290686186867276
任务一,171.875,左提示,F4,-3.1130216782798996,-2.871684255101382,-5.506753810912165
任务一,171.875,右提示,F3,8.543915656592421,9.422032406054786,0.9666951134170378
任务一,171.875,右提示,Fz,3.7862802365474257,4.944435116649577,0.2213569598546528
任务一,171.875,右提示,F4,10.099537071100823,11.05822652546535,-0.17346837817738767
任务一,179.6875,左提示,F3,-3.9281548232896695,-3.970841796777108,-4.940038870954801
任务一,179.6875,左提示,Fz,2.837011424042786,2.9710976639896547,-4.111586702384083
任务一,179.6875,左提示,F4,-3.167710253870159,-3.0999206726067365,-5.251912129063407
任务一,179.6875,右提示,F3,8.696459433754747,9.833288843678833,1.1680315979237177
任务一,179.6875,右提示,Fz,3.7772001691832884,5.349378803632785,0.3641517137951762
任务一,179.6875,右提示,F4,10.276293557199075,11.687697910190192,-0.12558589023629063
任务一,187.5,左提示,F3,-4.148255495207854,-4.288998225996778,-4.725462270375289
任务一,187.5,左提示,Fz,2.84215357382088,2.9766306429588543,-3.8243255450399363
任务一,187.5,左提示,F4,-3.2019116890543584,-3.1693280478403496,-4.86408857760477
任务一,187.5,右提示,F3,8.823897682356911,9.964523758436558,1.4548780723399333
任务一,187.5,右提示,Fz,3.7602125348688977,5.295044867782054,0.6049488522207452
任务一,187.5,右提示,F4,10.455258389223184,12.031444146663961,0.03126190972842168
任务一,195.3125,左提示,F3,-4.337931374823639,-4.387966259530058,-4.456440725542143
任务一,195.3125,左提示,Fz,2.8759038287487364,3.092900912066624,-3.470330762721561
任务一,195.3125,左提示,F4,-3.204608196850379,-3.0843811568580106,-4.396291219329111
任务一,195.3125,右提示,F3,8.945676614519963,9.762023415341336,1.7946854972862738
任务一,195.3125,右提示,Fz,3.7563830700587943,4.8018787463504085,0.9083080529038284
任务一,195.3125,右提示,F4,10.651297149715294,11.986198293164737,0.25609752376677253
任务一,203.125,左提示,F3,-4.481321229352711,-4.3871058742106275,-4.193828024823361
任务一,203.125,左提示,Fz,2.954794187475942,3.223462928632458,-3.1179763710743607
任务一,203.125,左提示,F4,-3.1647819902761087,-2.8946593560197824,-3.9356014087356437
任务一,203.125,右提示,F3,9.081242442364957,9.337257590252902,2.1280094733752954
任务一,203.125,右提示,Fz,3.7867775112075095,4.105694093815944,1.2097079212969648
任务一,203.125,右提示,F4,10.879275421217532,11.666340620154335,0.4721356887014454
任务一,210.9375,左提示,F3,-4.5625638260107655,-4.388690483187927,-3.9709203324938693
任务一,210.9375,左提示,Fz,3.0953566486520847,3.391673360468203,-2.8045497233145134
任务一,210.9375,左提示,F4,-3.0714152823494327,-2.6413105731555557,-3.528064590386708
任务一,210.9375,右提示,F3,9.250041378012934,8.937795048482016,2.4250675078444464
任务一,210.9375,右提示,Fz,3.872461594769576,3.4611787759269537,1.4752825309721098
任务一,210.9375,右提示,F4,11.154058786272044,11.2942394555193,0.6391863116706288
任务一,218.75,左提示,F3,-4.565797932013488,-4.348052709903397,-3.7518471482272173
任务一,218.75,左提示,Fz,3.3141232109267538,3.677632610370891,-2.4913329643392066
任务一,218.75,左提示,F4,-2.9134902860882343,-2.3418849181218064,-3.115401188268782
任务一,218.75,右提示,F3,9.47151963358496,8.83727572062147,2.7272037439534293
任务一,218.75,右提示,Fz,4.034501057199532,3.1363281437482105,1.7442239870873293
任务一,218.75,右提示,F4,11.490512827420968,11.109102887562036,0.8091911102054741
任务一,226.5625,左提示,F3,-4.475162314576568,-4.213501303017043,-3.4082766355263057
任务一,226.5625,左提示,Fz,3.6276258729495368,4.070253525215693,-2.0345527234761223
任务一,226.5625,左提示,F4,-2.679989214510404,-2.0987382361533156,-2.5030272284022286
任务一,226.5625,右提示,F3,9.76512342120208,9.241587938921167,3.17368939237108
任务一,226.5625,右提示,Fz,4.293961634951909,3.3711605834488645,2.15947572095046
任务一,226.5625,右提示,F4,11.903503127206442,11.316790006669859,1.1584832115609818
任务一,234.375,左提示,F3,-4.274795740915695,-4.107079534185685,-2.8228481901301503
任务一,234.375,左提示,Fz,4.052396633370019,4.394263664791039,-1.303707137154157
任务一,234.375,左提示,F4,-2.3598942806338226,-2.016994990112729,-1.5170737759088908
任务一,234.375,右提示,F3,10.150298952985342,10.018554430168486,3.8880722913957393
任务一,234.375,右提示,Fz,4.671909064481239,4.138552329680228,2.849060879681734
任务一,234.375,右提示,F4,12.407895268170597,11.892129401193502,1.8447687186693782
任务一,242.1875,左提示,F3,-3.948837056138583,-4.151174892991714,-1.9969559189782158
任务一,242.1875,左提示,Fz,4.604967405604729,4.5878401640380275,-0.3072896776088667
任务一,242.1875,左提示,F4,-1.9421877609317928,-2.0545695153179446,-0.17607240082080722
任务一,242.1875,右提示,F3,10.646492364805983,10.771660547933784,4.860855316593579
任务一,242.1875,右提示,Fz,5.189408987550276,5.099365082541065,3.8054478285153985
任务一,242.1875,右提示,F4,13.018554761892721,12.620342137919332,2.8643373390768407
任务一,250.0,左提示,F3,-3.489006491550229,-4.184650627680474,-1.1129271686389648
任务一,250.0,左提示,Fz,5.293574198443873,4.802719504562692,0.728895132846812
任务一,250.0,左提示,F4,-1.4220281741219587,-2.0069999273078922,1.2129126047516658
任务一,250.0,右提示,F3,11.265728244720961,11.267357793792252,5.875543013748717
任务一,250.0,右提示,Fz,5.858310504968763,5.9570419347283,4.806333290472373
任务一,250.0,右提示,F4,13.743440162402095,13.32413841108405,3.9689252372412325
任务一,257.8125,左提示,F3,-2.9153951229754114,-3.8196186767738425,-0.42727004962622334
任务一,257.8125,左提示,Fz,6.095408325924101,5.310237700149408,1.4889121552738849
任务一,257.8125,左提示,F4,-0.8176865943137024,-1.7125398189046717,2.2232756251496206
任务一,257.8125,右提示,F3,11.992258478849198,11.746046044657842,6.628121666146354
任务一,257.8125,右提示,Fz,6.655972844113949,6.732943368791026,5.540643933395624
任务一,257.8125,右提示,F4,14.56466300661858,14.053529844954834,4.8124228746756295
任务一,265.625,左提示,F3,-2.2547291801639133,-2.8045653052651884,-0.1375969592864879
任务一,265.625,左提示,Fz,6.980400608722328,6.26011276163063,1.7322160956683716
任务一,265.625,左提示,F4,-0.15283948150535132,-1.047427357574234,2.534644481091238
任务一,265.625,右提示,F3,12.803839688350399,12.54576510356841,6.881080118836037
任务一,265.625,右提示,Fz,7.551689007231142,7.614932985709254,5.767175442850259
任务一,265.625,右提示,F4,15.458289930792766,14.94584016168502,5.126631064730896
任务一,273.4375,左提示,F3,-1.5337348928655414,-1.3329133973141207,-0.2749558238350334
任务一,273.4375,左提示,Fz,7.918481867515486,7.578012155238071,1.4308946105703686
任务一,273.4375,左提示,F4,0.5488367043047848,-0.0052166277471688005,2.110099749253965
任务一,273.4375,右提示,F3,13.678228494384278,13.634810830214773,6.597384382210261
任务一,273.4375,右提示,Fz,8.514751996565666,8.581960232440993,5.453668181670463
任务一,273.4375,右提示,F4,16.400387571175276,16.004239793708532,4.868201600043031
任务一,281.25,左提示,F3,-0.7791384908300776,0.03673458985111022,-0.7470135843575169
任务一,281.25,左提示,Fz,8.879582922980504,8.922390491263545,0.717248614145455
任务一,281.25,左提示,F4,1.263665503118368,1.2097588886483148,1.1303957604074395
任务一,281.25,右提示,F3,14.593181518110534,14.58555287949299,5.896829085920578
任务一,281.25,右提示,Fz,9.514454814362843,9.387745542160232,4.726226069667011
任务一,281.25,右提示,F4,17.36702256401673,17.006838108889834,4.160160075557884
任务一,289.0625,左提示,F3,-0.01766620380731787,0.8601136785340744,-1.4019942941419081
任务一,289.0625,左提示,Fz,9.8336345957943,10.00534460754049,-0.2002256061342923
任务一,289.0625,左提示,F4,1.967970454937083,2.245527394241096,-0.1231754465587827
任务一,289.0625,右提示,F3,15.526455380688882,15.20148688206582,4.98122101069275
任务一,289.0625,右提示,Fz,10.520090462867982,9.975089326611183,3.791650576472896
任务一,289.0625,右提示,F4,18.334261545567728,17.84516449484473,3.2094926526152214
任务一,296.875,左提示,F3,0.7239557384529425,1.153812818800664,-2.1165802458730822
任务一,296.875,左提示,Fz,10.750567706633806,10.778317970465142,-1.1516649727139976
任务一,296.875,左提示,F4,2.6380750997626006,2.9088426800096734,-1.417666936425219
任务一,296.875,右提示,F3,16.45580670327902,15.768848555553703,4.022432580011771
任务一,296.875,右提示,Fz,11.500951944326408,10.666760020370694,2.8206050977046555
任务一,296.875,右提示,F4,19.27817115207889,18.723901365810157,2.1854343912427048
任务一,304.6875,左提示,F3,1.4190011062009162,1.2692677055183843,-2.7966149483565084
任务一,304.6875,左提示,Fz,11.60031307617595,11.419131279202986,-2.0106371306622295
任务一,304.6875,左提示,F4,3.2503029775966006,3.268872921110704,-2.58143469038228
任务一,304.6875,右提示,F3,17.358992107040663,16.665376853497236,3.1530607862330884
任务一,304.6875,右提示,Fz,12.42633226098344,11.72618418728757,1.9430599087625475
任务一,304.6875,右提示,F4,20.17481801980084,19.890120756827745,1.2185904022857885
任务一,312.5,左提示,F3,2.040743669686801,1.5364214772131408,-3.389889420578166
任务一,312.5,左提示,Fz,12.35280152509765,12.09798563506429,-2.7099814742228188
任务一,312.5,左提示,F4,3.780977628440766,3.611406314194406,-3.52138979722617
任务一,312.5,右提示,F3,18.213768213133513,17.79947434211775,2.4458201434008515
任务一,312.5,右提示,Fz,13.265524415084393,12.948617312226194,1.2276242577992116
任务一,312.5,右提示,F4,21.000268784984172,21.18832300286637,0.37952848403534634
任务一,320.3125,左提示,F3,2.562457199160818,2.0044367895861352,-3.851489309465549
任务一,320.3125,左提示,Fz,12.977963874075842,12.884449062896902,-3.197563380821691
任务一,320.3125,左提示,F4,4.206422592296766,4.124288952800535,-4.170002182798505
任务一,320.3125,右提示,F3,18.997891642717278,18.79492596078166,1.9546755102939803
任务一,320.3125,右提示,Fz,13.987821408874584,13.913804436526473,0.7275394306059213
任务一,320.3125,右提示,F4,21.730590083879505,22.245370148668208,-0.2722726083117595
任务一,328.125,左提示,F3,2.9574154648731596,2.472877143030768,-4.160064471003768
任务一,328.125,左提示,Fz,13.445730943787446,13.623437924294677,-3.4544057401728727
任务一,328.125,左提示,F4,4.502961409166279,4.709739518064664,-4.5038456794906825
任务一,328.125,右提示,F3,19.68911901695166,19.4829054532817,1.6971880925843417
任务一,328.125,右提示,Fz,14.562516244599337,14.50399334031663,0.46016337577105104
任务一,328.125,右提示,F4,22.34184855273746,22.875149543892473,-0.7122291786947873
任务一,335.9375,左提示,F3,3.2014171898665627,2.7794843441598935,-4.293755229375526
任务一,335.9375,左提示,Fz,13.72894038890845,14.092123671062838,-3.4638046297527803
任务一,335.9375,左提示,F4,4.649230438970617,5.060071094821229,-4.507387855193828
任务一,335.9375,右提示,F3,20.266831321033862,20.151219589012744,1.685887467090158
任务一,335.9375,右提示,Fz,14.961466010242022,14.992133859175512,0.44112266777003495
任务一,335.9375,右提示,F4,22.812005153951894,23.286047319289786,-0.9147590684727509
任务一,343.75,左提示,F3,3.299613673396804,2.9926480944360048,-4.251730112373825
任务一,343.75,左提示,Fz,13.834221809353927,14.160635045035276,-3.2366566658600977
任务一,343.75,左提示,F4,4.650752573196961,5.029875566323382,-4.200316217545465
任务一,343.75,右提示,F3,20.729292772096855,21.073199318248502,1.9042887366808083
任务一,343.75,右提示,Fz,15.186335290490927,15.660267384915528,0.656555410319812
任务一,343.75,右提示,F4,23.14104239133199,23.77641972232739,-0.884434511415374
任务一,351.5625,左提示,F3,3.2760933606635714,3.2208231742125193,-4.027195790441935
任务一,351.5625,左提示,Fz,13.790006060031914,13.915504228094958,-2.777262048734923
任务一,351.5625,左提示,F4,4.530396852729789,4.68739748708537,-3.5970702276485227
任务一,351.5625,右提示,F3,21.086950317554773,22.073342427823903,2.3411036476615057
任务一,351.5625,右提示,Fz,15.258019313069777,16.332351831463196,1.100302644036582
任务一,351.5625,右提示,F4,23.343150214761337,24.272132887502302,-0.616517626748188
任务一,359.375,左提示,F3,3.1552603159656165,3.3865201432395757,-3.6281757072364407
任务一,359.375,左提示,Fz,13.625087350100328,13.528558059506434,-2.107799746092547
任务一,359.375,左提示,F4,4.3113214209435515,4.245967800982916,-2.732936145159656
任务一,359.375,右提示,F3,21.35045395032644,22.64564815980898,2.9668426051079297
任务一,359.375,右提示,Fz,15.197733816419547,16.51124944605,1.746712666926342
任务一,359.375,右提示,F4,23.432755364891417,24.295750249730897,-0.12747785967106204
任务一,367.1875,左提示,F3,2.961518603601686,3.373123589771346,-3.051171368734637
任务一,367.1875,左提示,Fz,13.368259888717088,13.222594064319225,-1.2351968774193063
任务一,367.1875,左提示,F4,4.016684421212691,3.9034041505633095,-1.6253694416958568
任务一,367.1875,右提示,F3,21.530453663330672,22.612288233226995,3.7670792219333236
任务一,367.1875,右提示,Fz,15.02669453898121,16.021078672408816,2.586945190831114
任务一,367.1875,右提示,F4,23.424284582373726,23.715934926458885,0.5836568218851946
任务一,375.0,左提示,F3,2.719272287870531,3.2462395629510574,-2.306216821058885
任务一,375.0,左提示,Fz,13.048317885040106,13.099206901286305,-0.18133275045979877
任务一,375.0,左提示,F4,3.6696439969116543,3.75262716912491,-0.30761909277756844
任务一,375.0,右提示,F3,21.63759944948627,22.204798896894836,4.713566678976865
任务一,375.0,右提示,Fz,14.766117219195742,15.186478566007645,3.596036654387416
任务一,375.0,右提示,F4,23.332164607859752,22.975471260100264,1.4989043566346576
任务一,382.8125,左提示,F3,2.4529254330709076,3.146162739456532,-1.392216378584431
任务一,382.8125,左提示,Fz,12.6940555482273,13.0959194498431,1.0475508911703133
任务一,382.8125,左提示,F4,3.2933582914148776,3.618209384667505,1.206197013199505
任务一,382.8125,右提示,F3,21.682541301712067,21.747339016109883,5.794897323682609
任务一,382.8125,右提示,Fz,14.437217595504109,14.34498815342887,4.766752881058924
任务一,382.8125,右提示,F4,23.170822182000958,22.51759345049441,2.6177624491344678
任务一,390.625,左提示,F3,2.1868821035015653,3.0264121456414834,-0.3236658591788736
任务一,390.625,左提示,Fz,12.334267087436592,12.951671020517162,2.428211345822927
任务一,390.625,左提示,F4,2.9109854480968114,3.232609043688603,2.8842071648946916
任务一,390.625,右提示,F3,21.675929212926892,21.365470351092974,6.984880567687089
任务一,390.625,右提示,Fz,14.061211406347304,13.589898572451865,6.073983387104168
任务一,390.625,右提示,F4,22.954684045448868,22.28844702981684,3.918304521021892
任务一,398.4375,左提示,F3,1.9455463634612578,2.732826289039931,0.8954572753169293
任务一,398.4375,左提示,Fz,11.997746711825897,12.526693502031083,3.952455424663946
任务一,398.4375,左提示,F4,2.5456836103319027,2.5585878360782957,4.713115045788299
任务一,398.4375,右提示,F3,21.62841317604954,21.201337883121116,8.274156513900715
任务一,398.4375,右提示,Fz,13.659314390166294,13.029160024347384,7.50999034353508
任务一,398.4375,右提示,F4,22.698176938854953,22.135732300783577,5.395476331552854
任务一,406.25,左提示,F3,1.7533222772487278,2.256928575118115,2.2449143839631334
任务一,406.25,左提示,Fz,11.713288630553121,11.954235883574935,5.594140888985145
任务一,406.25,左提示,F4,2.2206109214945897,1.9502668132497067,6.6607231463186025
任务一,406.25,右提示,F3,21.550643183998833,21.353584935750003,9.637775569598318
任务一,406.25,右提示,Fz,13.252742285402046,12.865958458492036,9.04818456239404
任务一,406.25,右提示,F4,22.41572760287069,22.100907644691443,7.021816838074979
任务一,414.0625,左提示,F3,1.6346139091627343,1.732427679317567,3.7157705134979198
任务一,414.0625,左提示,Fz,11.5096870527762,11.518617137320685,7.342786385733541
任务一,414.0625,左提示,F4,1.9589255249593265,1.703883523284242,8.713861752923382
任务一,414.0625,右提示,F3,21.4532692296936,21.655129951624936,11.067987078776499
任务一,414.0625,右提示,Fz,12.862710830495553,12.982435131726753,10.679925459913973
任务一,414.0625,右提示,F4,22.12176277814759,22.16772137673526,8.78768615151867
任务一,421.875,左提示,F3,1.6137227489395034,1.3171605637278763,5.2830744016403575
任务一,421.875,左提示,Fz,11.415612738892825,11.298875764131223,9.169757202813141
任务一,421.875,左提示,F4,1.7837269178109683,1.7857594687964138,10.839852610109896
任务一,421.875,右提示,F3,21.347010861144803,21.597834456958676,12.54076706765926
任务一,421.875,右提示,Fz,12.510420271265296,12.82591877395812,12.377294115676298
任务一,421.875,右提示,F4,21.830769661408045,21.97674457996033,10.661053419056065
任务一,429.6875,左提示,F3,1.7076832299461646,1.095289636202379,6.934652201582187
任务一,429.6875,左提示,Fz,11.450990527532479,11.204870456353945,11.063292734114968
