record,original_trial_index,stage,analysis_variant,cue_time_s,event_time_s,event_offset_from_cue_s,target_offset_s,cue_side,response_code,q1_trial_index,q1_final_drop,eeg_quality
VisualCogA_Task-1,3,target_offset_sensitivity,target_offset_2.0s,46.29296875,48.29296875,2.0,2.0,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,3,target_offset_sensitivity,target_offset_2.1s,46.29296875,48.39296875,2.1,2.1,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,3,target_locked,target_offset_2.2s,46.29296875,48.49296875,2.2,2.2,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,3,target_offset_sensitivity,target_offset_2.3s,46.29296875,48.59296875,2.3,2.3,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,3,target_offset_sensitivity,target_offset_2.4s,46.29296875,48.69296875,2.4,2.4,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,4,cue_locked,nominal,54.90234375,54.90234375,0.0,,1,2,2.0,0,retained_by_q1
VisualCogA_Task-1,4,target_offset_sensitivity,target_offset_2.0s,54.90234375,56.90234375,2.0,2.0,1,2,2.0,0,retained_by_q1
VisualCogA_Task-1,4,target_offset_sensitivity,target_offset_2.1s,54.90234375,57.00234375,2.1,2.1,1,2,2.0,0,retained_by_q1
VisualCogA_Task-1,4,target_locked,target_offset_2.2s,54.90234375,57.10234375,2.2,2.2,1,2,2.0,0,retained_by_q1
VisualCogA_Task-1,4,target_offset_sensitivity,target_offset_2.3s,54.90234375,57.20234375,2.3,2.3,1,2,2.0,0,retained_by_q1
VisualCogA_Task-1,4,target_offset_sensitivity,target_offset_2.4s,54.90234375,57.30234375,2.4,2.4,1,2,2.0,0,retained_by_q1
VisualCogA_Task-1,5,cue_locked,nominal,63.34375,63.34375,0.0,,-1,-2,3.0,0,retained_by_q1
VisualCogA_Task-1,5,target_offset_sensitivity,target_offset_2.0s,63.34375,65.34375,2.0,2.0,-1,-2,3.0,0,retained_by_q1
VisualCogA_Task-1,5,target_offset_sensitivity,target_offset_2.1s,63.34375,65.44375,2.1,2.1,-1,-2,3.0,0,retained_by_q1
VisualCogA_Task-1,5,target_locked,target_offset_2.2s,63.34375,65.54375,2.2,2.2,-1,-2,3.0,0,retained_by_q1
VisualCogA_Task-1,5,target_offset_sensitivity,target_offset_2.3s,63.34375,65.64375,2.3,2.3,-1,-2,3.0,0,retained_by_q1
VisualCogA_Task-1,5,target_offset_sensitivity,target_offset_2.4s,63.34375,65.74375,2.4,2.4,-1,-2,3.0,0,retained_by_q1
VisualCogA_Task-1,6,cue_locked,nominal,71.75,71.75,0.0,,-1,-2,4.0,0,retained_by_q1
VisualCogA_Task-1,6,target_offset_sensitivity,target_offset_2.0s,71.75,73.75,2.0,2.0,-1,-2,4.0,0,retained_by_q1
VisualCogA_Task-1,6,target_offset_sensitivity,target_offset_2.1s,71.75,73.85,2.1,2.1,-1,-2,4.0,0,retained_by_q1
VisualCogA_Task-1,6,target_locked,target_offset_2.2s,71.75,73.95,2.2,2.2,-1,-2,4.0,0,retained_by_q1
VisualCogA_Task-1,6,target_offset_sensitivity,target_offset_2.3s,71.75,74.05,2.3,2.3,-1,-2,4.0,0,retained_by_q1
VisualCogA_Task-1,6,target_offset_sensitivity,target_offset_2.4s,71.75,74.15,2.4,2.4,-1,-2,4.0,0,retained_by_q1
VisualCogA_Task-1,7,cue_locked,nominal,80.42578125,80.42578125,0.0,,-1,-2,5.0,0,retained_by_q1
VisualCogA_Task-1,7,target_offset_sensitivity,target_offset_2.0s,80.42578125,82.42578125,2.0,2.0,-1,-2,5.0,0,retained_by_q1
VisualCogA_Task-1,7,target_offset_sensitivity,target_offset_2.1s,80.42578125,82.52578125,2.1,2.1,-1,-2,5.0,0,retained_by_q1
VisualCogA_Task-1,7,target_locked,target_offset_2.2s,80.42578125,82.62578125,2.2,2.2,-1,-2,5.0,0,retained_by_q1
VisualCogA_Task-1,7,target_offset_sensitivity,target_offset_2.3s,80.42578125,82.72578125,2.3,2.3,-1,-2,5.0,0,retained_by_q1
VisualCogA_Task-1,7,target_offset_sensitivity,target_offset_2.4s,80.42578125,82.82578125,2.4,2.4,-1,-2,5.0,0,retained_by_q1
VisualCogA_Task-1,8,cue_locked,nominal,88.69140625,88.69140625,0.0,,1,2,6.0,0,retained_by_q1
VisualCogA_Task-1,8,target_offset_sensitivity,target_offset_2.0s,88.69140625,90.69140625,2.0,2.0,1,2,6.0,0,retained_by_q1
VisualCogA_Task-1,8,target_offset_sensitivity,target_offset_2.1s,88.69140625,90.79140625,2.1,2.1,1,2,6.0,0,retained_by_q1
VisualCogA_Task-1,8,target_locked,target_offset_2.2s,88.69140625,90.89140625,2.2,2.2,1,2,6.0,0,retained_by_q1
VisualCogA_Task-1,8,target_offset_sensitivity,target_offset_2.3s,88.69140625,90.99140625,2.3,2.3,1,2,6.0,0,retained_by_q1
VisualCogA_Task-1,8,target_offset_sensitivity,target_offset_2.4s,88.69140625,91.09140625,2.4,2.4,1,2,6.0,0,retained_by_q1
VisualCogA_Task-1,9,cue_locked,nominal,97.0859375,97.0859375,0.0,,1,2,7.0,0,retained_by_q1
VisualCogA_Task-1,9,target_offset_sensitivity,target_offset_2.0s,97.0859375,99.0859375,2.0,2.0,1,2,7.0,0,retained_by_q1
VisualCogA_Task-1,9,target_offset_sensitivity,target_offset_2.1s,97.0859375,99.1859375,2.1,2.1,1,2,7.0,0,retained_by_q1
VisualCogA_Task-1,9,target_locked,target_offset_2.2s,97.0859375,99.2859375,2.2,2.2,1,2,7.0,0,retained_by_q1
VisualCogA_Task-1,9,target_offset_sensitivity,target_offset_2.3s,97.0859375,99.3859375,2.3,2.3,1,2,7.0,0,retained_by_q1
VisualCogA_Task-1,9,target_offset_sensitivity,target_offset_2.4s,97.0859375,99.4859375,2.4,2.4,1,2,7.0,0,retained_by_q1
VisualCogA_Task-1,10,cue_locked,nominal,105.8671875,105.8671875,0.0,,1,2,8.0,0,retained_by_q1
VisualCogA_Task-1,10,target_offset_sensitivity,target_offset_2.0s,105.8671875,107.8671875,2.0,2.0,1,2,8.0,0,retained_by_q1
VisualCogA_Task-1,10,target_offset_sensitivity,target_offset_2.1s,105.8671875,107.9671875,2.1,2.1,1,2,8.0,0,retained_by_q1
VisualCogA_Task-1,10,target_locked,target_offset_2.2s,105.8671875,108.0671875,2.2,2.2,1,2,8.0,0,retained_by_q1
VisualCogA_Task-1,10,target_offset_sensitivity,target_offset_2.3s,105.8671875,108.1671875,2.3,2.3,1,2,8.0,0,retained_by_q1
VisualCogA_Task-1,10,target_offset_sensitivity,target_offset_2.4s,105.8671875,108.2671875,2.4,2.4,1,2,8.0,0,retained_by_q1
VisualCogA_Task-1,11,cue_locked,nominal,114.2734375,114.2734375,0.0,,1,2,9.0,0,retained_by_q1
VisualCogA_Task-1,11,target_offset_sensitivity,target_offset_2.0s,114.2734375,116.2734375,2.0,2.0,1,2,9.0,0,retained_by_q1
VisualCogA_Task-1,11,target_offset_sensitivity,target_offset_2.1s,114.2734375,116.3734375,2.1,2.1,1,2,9.0,0,retained_by_q1
VisualCogA_Task-1,11,target_locked,target_offset_2.2s,114.2734375,116.4734375,2.2,2.2,1,2,9.0,0,retained_by_q1
VisualCogA_Task-1,11,target_offset_sensitivity,target_offset_2.3s,114.2734375,116.5734375,2.3,2.3,1,2,9.0,0,retained_by_q1
VisualCogA_Task-1,11,target_offset_sensitivity,target_offset_2.4s,114.2734375,116.6734375,2.4,2.4,1,2,9.0,0,retained_by_q1
VisualCogA_Task-1,12,cue_locked,nominal,122.57421875,122.57421875,0.0,,-1,-2,10.0,0,retained_by_q1
VisualCogA_Task-1,12,target_offset_sensitivity,target_offset_2.0s,122.57421875,124.57421875,2.0,2.0,-1,-2,10.0,0,retained_by_q1
VisualCogA_Task-1,12,target_offset_sensitivity,target_offset_2.1s,122.57421875,124.67421875,2.1,2.1,-1,-2,10.0,0,retained_by_q1
VisualCogA_Task-1,12,target_locked,target_offset_2.2s,122.57421875,124.77421875,2.2,2.2,-1,-2,10.0,0,retained_by_q1
VisualCogA_Task-1,12,target_offset_sensitivity,target_offset_2.3s,122.57421875,124.87421875,2.3,2.3,-1,-2,10.0,0,retained_by_q1
VisualCogA_Task-1,12,target_offset_sensitivity,target_offset_2.4s,122.57421875,124.97421875,2.4,2.4,-1,-2,10.0,0,retained_by_q1
VisualCogA_Task-1,13,cue_locked,nominal,130.9375,130.9375,0.0,,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,13,target_offset_sensitivity,target_offset_2.0s,130.9375,132.9375,2.0,2.0,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,13,target_offset_sensitivity,target_offset_2.1s,130.9375,133.0375,2.1,2.1,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,13,target_locked,target_offset_2.2s,130.9375,133.1375,2.2,2.2,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,13,target_offset_sensitivity,target_offset_2.3s,130.9375,133.2375,2.3,2.3,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,13,target_offset_sensitivity,target_offset_2.4s,130.9375,133.3375,2.4,2.4,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,14,cue_locked,nominal,139.359375,139.359375,0.0,,1,2,,1,excluded_by_q1
VisualCogA_Task-1,14,target_offset_sensitivity,target_offset_2.0s,139.359375,141.359375,2.0,2.0,1,2,,1,excluded_by_q1
VisualCogA_Task-1,14,target_offset_sensitivity,target_offset_2.1s,139.359375,141.459375,2.1,2.1,1,2,,1,excluded_by_q1
VisualCogA_Task-1,14,target_locked,target_offset_2.2s,139.359375,141.559375,2.2,2.2,1,2,,1,excluded_by_q1
VisualCogA_Task-1,14,target_offset_sensitivity,target_offset_2.3s,139.359375,141.659375,2.3,2.3,1,2,,1,excluded_by_q1
VisualCogA_Task-1,14,target_offset_sensitivity,target_offset_2.4s,139.359375,141.759375,2.4,2.4,1,2,,1,excluded_by_q1
VisualCogA_Task-1,15,cue_locked,nominal,147.61328125,147.61328125,0.0,,-1,-2,11.0,0,retained_by_q1
VisualCogA_Task-1,15,target_offset_sensitivity,target_offset_2.0s,147.61328125,149.61328125,2.0,2.0,-1,-2,11.0,0,retained_by_q1
VisualCogA_Task-1,15,target_offset_sensitivity,target_offset_2.1s,147.61328125,149.71328125,2.1,2.1,-1,-2,11.0,0,retained_by_q1
VisualCogA_Task-1,15,target_locked,target_offset_2.2s,147.61328125,149.81328125,2.2,2.2,-1,-2,11.0,0,retained_by_q1
VisualCogA_Task-1,15,target_offset_sensitivity,target_offset_2.3s,147.61328125,149.91328125,2.3,2.3,-1,-2,11.0,0,retained_by_q1
VisualCogA_Task-1,15,target_offset_sensitivity,target_offset_2.4s,147.61328125,150.01328125,2.4,2.4,-1,-2,11.0,0,retained_by_q1
VisualCogA_Task-1,16,cue_locked,nominal,155.84765625,155.84765625,0.0,,1,2,12.0,0,retained_by_q1
VisualCogA_Task-1,16,target_offset_sensitivity,target_offset_2.0s,155.84765625,157.84765625,2.0,2.0,1,2,12.0,0,retained_by_q1
VisualCogA_Task-1,16,target_offset_sensitivity,target_offset_2.1s,155.84765625,157.94765625,2.1,2.1,1,2,12.0,0,retained_by_q1
VisualCogA_Task-1,16,target_locked,target_offset_2.2s,155.84765625,158.04765625,2.2,2.2,1,2,12.0,0,retained_by_q1
VisualCogA_Task-1,16,target_offset_sensitivity,target_offset_2.3s,155.84765625,158.14765625,2.3,2.3,1,2,12.0,0,retained_by_q1
VisualCogA_Task-1,16,target_offset_sensitivity,target_offset_2.4s,155.84765625,158.24765625,2.4,2.4,1,2,12.0,0,retained_by_q1
VisualCogA_Task-1,17,cue_locked,nominal,164.4921875,164.4921875,0.0,,-1,-2,13.0,0,retained_by_q1
VisualCogA_Task-1,17,target_offset_sensitivity,target_offset_2.0s,164.4921875,166.4921875,2.0,2.0,-1,-2,13.0,0,retained_by_q1
VisualCogA_Task-1,17,target_offset_sensitivity,target_offset_2.1s,164.4921875,166.5921875,2.1,2.1,-1,-2,13.0,0,retained_by_q1
VisualCogA_Task-1,17,target_locked,target_offset_2.2s,164.4921875,166.6921875,2.2,2.2,-1,-2,13.0,0,retained_by_q1
VisualCogA_Task-1,17,target_offset_sensitivity,target_offset_2.3s,164.4921875,166.7921875,2.3,2.3,-1,-2,13.0,0,retained_by_q1
VisualCogA_Task-1,17,target_offset_sensitivity,target_offset_2.4s,164.4921875,166.8921875,2.4,2.4,-1,-2,13.0,0,retained_by_q1
VisualCogA_Task-1,18,cue_locked,nominal,172.9765625,172.9765625,0.0,,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,18,target_offset_sensitivity,target_offset_2.0s,172.9765625,174.9765625,2.0,2.0,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,18,target_offset_sensitivity,target_offset_2.1s,172.9765625,175.0765625,2.1,2.1,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,18,target_locked,target_offset_2.2s,172.9765625,175.1765625,2.2,2.2,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,18,target_offset_sensitivity,target_offset_2.3s,172.9765625,175.2765625,2.3,2.3,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,18,target_offset_sensitivity,target_offset_2.4s,172.9765625,175.3765625,2.4,2.4,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,19,cue_locked,nominal,181.41796875,181.41796875,0.0,,1,2,,1,excluded_by_q1
VisualCogA_Task-1,19,target_offset_sensitivity,target_offset_2.0s,181.41796875,183.41796875,2.0,2.0,1,2,,1,excluded_by_q1
VisualCogA_Task-1,19,target_offset_sensitivity,target_offset_2.1s,181.41796875,183.51796875,2.1,2.1,1,2,,1,excluded_by_q1
VisualCogA_Task-1,19,target_locked,target_offset_2.2s,181.41796875,183.61796875,2.2,2.2,1,2,,1,excluded_by_q1
VisualCogA_Task-1,19,target_offset_sensitivity,target_offset_2.3s,181.41796875,183.71796875,2.3,2.3,1,2,,1,excluded_by_q1
VisualCogA_Task-1,19,target_offset_sensitivity,target_offset_2.4s,181.41796875,183.81796875,2.4,2.4,1,2,,1,excluded_by_q1
VisualCogA_Task-1,20,cue_locked,nominal,189.76171875,189.76171875,0.0,,-1,-2,14.0,0,retained_by_q1
VisualCogA_Task-1,20,target_offset_sensitivity,target_offset_2.0s,189.76171875,191.76171875,2.0,2.0,-1,-2,14.0,0,retained_by_q1
VisualCogA_Task-1,20,target_offset_sensitivity,target_offset_2.1s,189.76171875,191.86171875,2.1,2.1,-1,-2,14.0,0,retained_by_q1
VisualCogA_Task-1,20,target_locked,target_offset_2.2s,189.76171875,191.96171875,2.2,2.2,-1,-2,14.0,0,retained_by_q1
VisualCogA_Task-1,20,target_offset_sensitivity,target_offset_2.3s,189.76171875,192.06171875,2.3,2.3,-1,-2,14.0,0,retained_by_q1
VisualCogA_Task-1,20,target_offset_sensitivity,target_offset_2.4s,189.76171875,192.16171875,2.4,2.4,-1,-2,14.0,0,retained_by_q1
VisualCogA_Task-1,21,cue_locked,nominal,197.953125,197.953125,0.0,,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,21,target_offset_sensitivity,target_offset_2.0s,197.953125,199.953125,2.0,2.0,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,21,target_offset_sensitivity,target_offset_2.1s,197.953125,200.053125,2.1,2.1,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,21,target_locked,target_offset_2.2s,197.953125,200.153125,2.2,2.2,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,21,target_offset_sensitivity,target_offset_2.3s,197.953125,200.253125,2.3,2.3,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,21,target_offset_sensitivity,target_offset_2.4s,197.953125,200.353125,2.4,2.4,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,22,cue_locked,nominal,206.46875,206.46875,0.0,,1,2,,1,excluded_by_q1
VisualCogA_Task-1,22,target_offset_sensitivity,target_offset_2.0s,206.46875,208.46875,2.0,2.0,1,2,,1,excluded_by_q1
VisualCogA_Task-1,22,target_offset_sensitivity,target_offset_2.1s,206.46875,208.56875,2.1,2.1,1,2,,1,excluded_by_q1
VisualCogA_Task-1,22,target_locked,target_offset_2.2s,206.46875,208.66875,2.2,2.2,1,2,,1,excluded_by_q1
VisualCogA_Task-1,22,target_offset_sensitivity,target_offset_2.3s,206.46875,208.76875,2.3,2.3,1,2,,1,excluded_by_q1
VisualCogA_Task-1,22,target_offset_sensitivity,target_offset_2.4s,206.46875,208.86875,2.4,2.4,1,2,,1,excluded_by_q1
VisualCogA_Task-1,23,cue_locked,nominal,214.84765625,214.84765625,0.0,,-1,-2,15.0,0,retained_by_q1
VisualCogA_Task-1,23,target_offset_sensitivity,target_offset_2.0s,214.84765625,216.84765625,2.0,2.0,-1,-2,15.0,0,retained_by_q1
VisualCogA_Task-1,23,target_offset_sensitivity,target_offset_2.1s,214.84765625,216.94765625,2.1,2.1,-1,-2,15.0,0,retained_by_q1
VisualCogA_Task-1,23,target_locked,target_offset_2.2s,214.84765625,217.04765625,2.2,2.2,-1,-2,15.0,0,retained_by_q1
VisualCogA_Task-1,23,target_offset_sensitivity,target_offset_2.3s,214.84765625,217.14765625,2.3,2.3,-1,-2,15.0,0,retained_by_q1
VisualCogA_Task-1,23,target_offset_sensitivity,target_offset_2.4s,214.84765625,217.24765625,2.4,2.4,-1,-2,15.0,0,retained_by_q1
VisualCogA_Task-1,24,cue_locked,nominal,223.17578125,223.17578125,0.0,,-1,-2,16.0,0,retained_by_q1
VisualCogA_Task-1,24,target_offset_sensitivity,target_offset_2.0s,223.17578125,225.17578125,2.0,2.0,-1,-2,16.0,0,retained_by_q1
VisualCogA_Task-1,24,target_offset_sensitivity,target_offset_2.1s,223.17578125,225.27578125,2.1,2.1,-1,-2,16.0,0,retained_by_q1
VisualCogA_Task-1,24,target_locked,target_offset_2.2s,223.17578125,225.37578125,2.2,2.2,-1,-2,16.0,0,retained_by_q1
VisualCogA_Task-1,24,target_offset_sensitivity,target_offset_2.3s,223.17578125,225.47578125,2.3,2.3,-1,-2,16.0,0,retained_by_q1
VisualCogA_Task-1,24,target_offset_sensitivity,target_offset_2.4s,223.17578125,225.57578125,2.4,2.4,-1,-2,16.0,0,retained_by_q1
VisualCogA_Task-1,25,cue_locked,nominal,231.6953125,231.6953125,0.0,,1,2,,1,excluded_by_q1
VisualCogA_Task-1,25,target_offset_sensitivity,target_offset_2.0s,231.6953125,233.6953125,2.0,2.0,1,2,,1,excluded_by_q1
VisualCogA_Task-1,25,target_offset_sensitivity,target_offset_2.1s,231.6953125,233.7953125,2.1,2.1,1,2,,1,excluded_by_q1
VisualCogA_Task-1,25,target_locked,target_offset_2.2s,231.6953125,233.8953125,2.2,2.2,1,2,,1,excluded_by_q1
VisualCogA_Task-1,25,target_offset_sensitivity,target_offset_2.3s,231.6953125,233.9953125,2.3,2.3,1,2,,1,excluded_by_q1
VisualCogA_Task-1,25,target_offset_sensitivity,target_offset_2.4s,231.6953125,234.0953125,2.4,2.4,1,2,,1,excluded_by_q1
VisualCogA_Task-1,26,cue_locked,nominal,239.8828125,239.8828125,0.0,,1,2,,1,excluded_by_q1
VisualCogA_Task-1,26,target_offset_sensitivity,target_offset_2.0s,239.8828125,241.8828125,2.0,2.0,1,2,,1,excluded_by_q1
VisualCogA_Task-1,26,target_offset_sensitivity,target_offset_2.1s,239.8828125,241.9828125,2.1,2.1,1,2,,1,excluded_by_q1
VisualCogA_Task-1,26,target_locked,target_offset_2.2s,239.8828125,242.0828125,2.2,2.2,1,2,,1,excluded_by_q1
VisualCogA_Task-1,26,target_offset_sensitivity,target_offset_2.3s,239.8828125,242.1828125,2.3,2.3,1,2,,1,excluded_by_q1
VisualCogA_Task-1,26,target_offset_sensitivity,target_offset_2.4s,239.8828125,242.2828125,2.4,2.4,1,2,,1,excluded_by_q1
VisualCogA_Task-1,27,cue_locked,nominal,248.33984375,248.33984375,0.0,,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,27,target_offset_sensitivity,target_offset_2.0s,248.33984375,250.33984375,2.0,2.0,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,27,target_offset_sensitivity,target_offset_2.1s,248.33984375,250.43984375,2.1,2.1,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,27,target_locked,target_offset_2.2s,248.33984375,250.53984375,2.2,2.2,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,27,target_offset_sensitivity,target_offset_2.3s,248.33984375,250.63984375,2.3,2.3,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,27,target_offset_sensitivity,target_offset_2.4s,248.33984375,250.73984375,2.4,2.4,-1,-2,,1,excluded_by_q1
VisualCogA_Task-1,28,cue_locked,nominal,256.49609375,256.49609375,0.0,,-1,-2,17.0,0,retained_by_q1
VisualCogA_Task-1,28,target_offset_sensitivity,target_offset_2.0s,256.49609375,258.49609375,2.0,2.0,-1,-2,17.0,0,retained_by_q1
VisualCogA_Task-1,28,target_offset_sensitivity,target_offset_2.1s,256.49609375,258.59609375,2.1,2.1,-1,-2,17.0,0,retained_by_q1
VisualCogA_Task-1,28,target_locked,target_offset_2.2s,256.49609375,258.69609375,2.2,2.2,-1,-2,17.0,0,retained_by_q1
VisualCogA_Task-1,28,target_offset_sensitivity,target_offset_2.3s,256.49609375,258.79609375,2.3,2.3,-1,-2,17.0,0,retained_by_q1
VisualCogA_Task-1,28,target_offset_sensitivity,target_offset_2.4s,256.49609375,258.89609375,2.4,2.4,-1,-2,17.0,0,retained_by_q1
VisualCogA_Task-1,29,cue_locked,nominal,265.078125,265.078125,0.0,,-1,-2,18.0,0,retained_by_q1
VisualCogA_Task-1,29,target_offset_sensitivity,target_offset_2.0s,265.078125,267.078125,2.0,2.0,-1,-2,18.0,0,retained_by_q1
VisualCogA_Task-1,29,target_offset_sensitivity,target_offset_2.1s,265.078125,267.178125,2.1,2.1,-1,-2,18.0,0,retained_by_q1
VisualCogA_Task-1,29,target_locked,target_offset_2.2s,265.078125,267.278125,2.2,2.2,-1,-2,18.0,0,retained_by_q1
VisualCogA_Task-1,29,target_offset_sensitivity,target_offset_2.3s,265.078125,267.378125,2.3,2.3,-1,-2,18.0,0,retained_by_q1
VisualCogA_Task-1,29,target_offset_sensitivity,target_offset_2.4s,265.078125,267.478125,2.4,2.4,-1,-2,18.0,0,retained_by_q1
VisualCogA_Task-1,30,cue_locked,nominal,273.34375,273.34375,0.0,,-1,-2,19.0,0,retained_by_q1
VisualCogA_Task-1,30,target_offset_sensitivity,target_offset_2.0s,273.34375,275.34375,2.0,2.0,-1,-2,19.0,0,retained_by_q1
VisualCogA_Task-1,30,target_offset_sensitivity,target_offset_2.1s,273.34375,275.44375,2.1,2.1,-1,-2,19.0,0,retained_by_q1
VisualCogA_Task-1,30,target_locked,target_offset_2.2s,273.34375,275.54375,2.2,2.2,-1,-2,19.0,0,retained_by_q1
VisualCogA_Task-1,30,target_offset_sensitivity,target_offset_2.3s,273.34375,275.64375,2.3,2.3,-1,-2,19.0,0,retained_by_q1
VisualCogA_Task-1,30,target_offset_sensitivity,target_offset_2.4s,273.34375,275.74375,2.4,2.4,-1,-2,19.0,0,retained_by_q1
VisualCogA_Task-1,31,cue_locked,nominal,281.56640625,281.56640625,0.0,,1,2,20.0,0,retained_by_q1
VisualCogA_Task-1,31,target_offset_sensitivity,target_offset_2.0s,281.56640625,283.56640625,2.0,2.0,1,2,20.0,0,retained_by_q1
VisualCogA_Task-1,31,target_offset_sensitivity,target_offset_2.1s,281.56640625,283.66640625,2.1,2.1,1,2,20.0,0,retained_by_q1
VisualCogA_Task-1,31,target_locked,target_offset_2.2s,281.56640625,283.76640625,2.2,2.2,1,2,20.0,0,retained_by_q1
VisualCogA_Task-1,31,target_offset_sensitivity,target_offset_2.3s,281.56640625,283.86640625,2.3,2.3,1,2,20.0,0,retained_by_q1
VisualCogA_Task-1,31,target_offset_sensitivity,target_offset_2.4s,281.56640625,283.96640625,2.4,2.4,1,2,20.0,0,retained_by_q1
VisualCogA_Task-1,32,cue_locked,nominal,290.11328125,290.11328125,0.0,,1,2,21.0,0,retained_by_q1
VisualCogA_Task-1,32,target_offset_sensitivity,target_offset_2.0s,290.11328125,292.11328125,2.0,2.0,1,2,21.0,0,retained_by_q1
VisualCogA_Task-1,32,target_offset_sensitivity,target_offset_2.1s,290.11328125,292.21328125,2.1,2.1,1,2,21.0,0,retained_by_q1
VisualCogA_Task-1,32,target_locked,target_offset_2.2s,290.11328125,292.31328125,2.2,2.2,1,2,21.0,0,retained_by_q1
VisualCogA_Task-1,32,target_offset_sensitivity,target_offset_2.3s,290.11328125,292.41328125,2.3,2.3,1,2,21.0,0,retained_by_q1
VisualCogA_Task-1,32,target_offset_sensitivity,target_offset_2.4s,290.11328125,292.51328125,2.4,2.4,1,2,21.0,0,retained_by_q1
