task_true,record_true,fold,clean_trial_index_1based,cue_true,prediction,unweighted_prediction,predicted_template_record,unweighted_template_record,predicted_region_channel,predicted_region_start_ms,predicted_region_end_exclusive_ms,region_weight,weighted_similarity,best_candidate_loss,best_candidate_empirical_equivalent_loss,correct,unweighted_correct,candidate_scope,window_selection
Task1,VisualCogA_Task-1,1,1,left,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.0711841209257834,5.5304898151013315,5.5304898151013315,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,2,left,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.03755043084376125,26.68094223379442,26.680942233794426,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,3,right,left,left,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06754088733343071,7.267824838056955,7.267824838056954,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,4,left,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06784031187470455,7.121546106594267,7.121546106594267,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,5,right,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.010136283256191975,69.98693465004902,69.98693465004901,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,6,right,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.07091602548117587,5.6552703565398055,5.6552703565398055,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,7,left,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.05950302944916288,11.457866817153777,11.457866817153777,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,8,left,right,right,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06815184685058276,6.970034764611226,6.970034764611227,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,9,left,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.0313422561075215,32.657098801568026,32.657098801568026,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,10,right,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.04836108658629203,18.314125921203495,18.314125921203495,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,11,left,right,right,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06993926487713704,6.113911883042859,6.113911883042859,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,12,right,left,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06959641390175422,6.276419018560654,6.276419018560654,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,13,left,left,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.0561459604895565,13.378267657388905,13.378267657388903,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,14,right,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.07029078697847196,5.948119760366449,5.948119760366449,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,15,left,left,left,VisualCogA_Task-1,VisualCogB_Task-2,F4,125.0,226.5625,0.042071197411003236,0.023844916778652612,7.866304843897952,7.866304843897952,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,16,left,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.07268842682307329,4.838936779540346,4.838936779540347,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,1,17,right,right,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.05732343448236305,12.691927176111225,12.691927176111225,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,1,left,left,left,VisualCogA_Task-1,VisualCogA_Task-1,F4,125.0,226.5625,0.042071197411003236,0.023637533085245122,7.987324389875936,7.987324389875936,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,2,left,left,left,VisualCogB_Task-1,VisualCogA_Task-1,Fz,359.375,562.5,0.08414239482200647,0.05538253479398689,13.830997533512306,13.830997533512306,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,3,right,right,right,VisualCogB_Task-2,VisualCogB_Task-2,F4,734.375,781.25,0.019417475728155338,0.009545433752024476,76.66831918236967,76.66831918236967,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,4,left,right,right,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06571811696369194,8.172544283851776,8.172544283851776,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,5,right,right,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.0006862530632647663,159.0296016916987,159.0296016916987,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,6,right,right,right,VisualCogA_Task-1,VisualCogA_Task-2,F4,125.0,226.5625,0.042071197411003236,0.030214973353359362,4.586095097047886,4.586095097047886,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,7,right,right,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.021436354535978343,45.21932628328221,45.21932628328221,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,8,right,right,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.02247145699687218,43.659869068380395,43.659869068380395,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,9,right,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.04870990688444807,18.07646072665135,18.07646072665135,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,10,right,right,right,VisualCogB_Task-2,VisualCogB_Task-2,F4,734.375,781.25,0.019417475728155338,0.015638495216162864,23.368099047208407,23.368099047208407,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,11,left,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.02362340488432013,42.00668126777063,42.00668126777063,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,12,right,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.022909240286013936,43.02182168906985,43.02182168906985,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,13,right,right,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.013540529573530259,60.41126846286389,60.41126846286389,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,14,right,right,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.04024512370552534,24.389126421749275,24.389126421749275,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,15,right,right,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.037203358143920125,26.988015356634637,26.988015356634637,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-2,1,16,left,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.031992866604334626,31.977671228765537,31.977671228765537,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,12,left,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.060868414920053626,7.04684782138257,7.04684782138257,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,13,right,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06591106867013397,5.314669590701724,5.314669590701724,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,14,left,right,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.059415720501977284,7.572550581171019,7.572550581171019,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,15,left,left,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.054965932928676985,9.266714270242087,9.266714270242087,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,16,left,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.04348127758576483,14.367647149086155,14.367647149086151,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,17,left,left,left,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06105260358832726,6.981091443920336,6.981091443920336,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,18,left,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.024296979779617298,27.033373122249035,27.033373122249035,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,19,left,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06180324194673492,6.715145386625308,6.715145386625308,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,20,left,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06754667583361679,4.781199357044666,4.781199357044667,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,21,right,left,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.04379164749957236,14.212852787335333,14.212852787335333,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-1,2,22,right,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06143550464617579,6.845026177246614,6.845026177246614,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,17,right,left,left,VisualCogB_Task-2,VisualCogB_Task-2,F4,734.375,781.25,0.019417475728155338,0.012542520840089015,44.02215276025006,44.02215276025006,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,18,right,left,left,VisualCogB_Task-2,VisualCogB_Task-2,F4,734.375,781.25,0.019417475728155338,0.016643873987835497,15.525011010948354,15.525011010948354,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,19,left,right,right,VisualCogB_Task-2,VisualCogB_Task-2,F4,734.375,781.25,0.019417475728155338,0.0033294619779701746,177.61632288118628,177.61632288118628,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,20,left,left,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.04861752016820125,11.937706647435306,11.937706647435306,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,21,right,left,left,VisualCogA_Task-1,VisualCogB_Task-2,F4,125.0,226.5625,0.042071197411003236,0.02402363968636438,9.083303119768892,9.083303119768892,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,22,left,right,right,VisualCogB_Task-2,VisualCogB_Task-2,F4,734.375,781.25,0.019417475728155338,0.002708772902133823,198.39758903292986,198.39758903292986,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,23,right,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.05925330852359115,7.632121481308265,7.632121481308265,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,24,left,left,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.02822441389093173,23.772474163364624,23.772474163364624,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,25,left,left,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.02172409877231564,29.469327863626475,29.469327863626464,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,26,right,left,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.022763529207447463,28.452169796253738,28.452169796253735,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,27,right,left,right,VisualCogB_Task-1,VisualCogA_Task-1,Fz,359.375,562.5,0.08414239482200647,0.046181465162737516,13.056454581015196,13.056454581015196,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,28,right,right,right,VisualCogA_Task-1,VisualCogA_Task-2,F4,125.0,226.5625,0.042071197411003236,0.006505509956812328,30.26087890780811,30.26087890780811,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,29,left,left,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.011823815066378711,42.708037557472984,42.708037557472984,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,30,right,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06487064489739755,5.660948171782663,5.660948171782663,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,31,right,right,left,VisualCogB_Task-2,VisualCogA_Task-2,F4,734.375,781.25,0.019417475728155338,0.015190505744470556,24.728499798916044,24.728499798916044,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task1,VisualCogA_Task-2,2,32,left,left,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.01475766949398436,37.88428016358194,37.88428016358194,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,18,left,left,left,VisualCogA_Task-1,VisualCogB_Task-2,F4,125.0,226.5625,0.042071197411003236,0.021352681538948728,10.993921337292281,10.993921337292285,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,19,right,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.05357925131678691,9.822801661524853,9.822801661524853,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,20,right,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06949741108204555,4.161586261834023,4.161586261834023,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,21,right,left,left,VisualCogB_Task-2,VisualCogB_Task-2,F4,734.375,781.25,0.019417475728155338,0.013472873441260719,36.814835930496876,36.814835930496876,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,22,right,left,right,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.03410686081694921,19.652451785916337,19.652451785916337,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,23,right,left,left,VisualCogA_Task-1,VisualCogB_Task-2,F4,125.0,226.5625,0.042071197411003236,0.02757594783337129,6.847746342133741,6.847746342133738,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,24,right,left,left,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.04297192432545732,14.624093342210468,14.624093342210468,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,25,right,left,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06280292328527959,6.365937055844894,6.365937055844894,0,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,26,left,left,left,VisualCogA_Task-1,VisualCogB_Task-2,F4,125.0,226.5625,0.042071197411003236,0.01666279100691241,15.014180334710355,15.014180334710355,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,27,right,right,right,VisualCogB_Task-1,VisualCogB_Task-1,Fz,359.375,562.5,0.08414239482200647,0.06504784017586619,5.601582595145548,5.601582595145548,1,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,28,left,left,right,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.03112532717128703,21.64327956585779,21.64327956585779,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,29,left,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06185678612582208,6.696298649435811,6.696298649435811,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,30,right,right,left,VisualCogB_Task-1,VisualCogA_Task-2,Fz,359.375,562.5,0.08414239482200647,0.06722623804415719,4.884688585899966,4.884688585899966,1,0,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
Task2,VisualCogB_Task-1,2,31,left,right,left,VisualCogB_Task-1,VisualCogB_Task-2,Fz,359.375,562.5,0.08414239482200647,0.00553470833720333,59.227996984496436,59.22799698449644,0,1,all four record windows x left/right training templates,fixed from all-trial exploratory scan; selection leakage
