station,time,height,liquid_water,relative_humidity,temperature,water_vapor_density
a,2025-08-02 00:00:00,1750.0,0.0,5.454,18.409,0.994
a,2025-08-02 00:00:00,1800.0,0.0,6.063,18.166,1.179
a,2025-08-02 00:00:00,1850.0,0.0,6.477,17.915,1.183
a,2025-08-02 00:00:00,1900.0,0.0,6.891,17.664,1.187
a,2025-08-02 00:00:00,1950.0,0.0,6.701,17.423,1.139
a,2025-08-02 00:00:00,2000.0,0.0,6.511,17.181,1.091
a,2025-08-02 00:00:00,2250.0,0.0,5.566,15.839,0.871
a,2025-08-02 00:00:00,2500.0,0.0,5.909,14.514,0.205
a,2025-08-02 00:00:00,2750.0,0.0,16.455,13.169,0.211
a,2025-08-02 00:00:00,3000.0,0.0,40.262,11.844,2.159
a,2025-08-02 00:00:00,3250.0,0.0,41.531,10.673,2.301
a,2025-08-02 00:00:00,3500.0,0.005,31.604,9.202,2.628
a,2025-08-02 00:00:00,3750.0,0.0,37.022,7.904,1.972
a,2025-08-02 00:00:00,4000.0,0.025,32.436,6.592,1.339
a,2025-08-02 00:00:00,4250.0,0.0,22.181,5.217,1.516
a,2025-08-02 00:00:00,4500.0,0.033,9.816,3.775,1.925
a,2025-08-02 00:00:00,4750.0,0.0,22.43,2.456,2.115
a,2025-08-02 00:00:00,5000.0,0.017,10.949,1.282,0.403
a,2025-08-02 00:00:00,5250.0,0.073,8.297,0.062,1.241
a,2025-08-02 00:00:00,5500.0,0.069,1.004,-1.128,1.075
a,2025-08-02 00:00:00,5750.0,0.058,1.002,-2.213,0.648
a,2025-08-02 00:00:00,6000.0,0.026,1.001,-3.659,0.192
a,2025-08-02 00:00:00,6250.0,0.018,1.005,-4.983,0.285
a,2025-08-02 00:00:00,6500.0,0.017,1.002,-6.369,0.759
a,2025-08-02 00:00:00,6750.0,0.018,1.009,-7.759,0.542
a,2025-08-02 00:00:00,7000.0,0.014,1.009,-9.043,0.521
a,2025-08-02 00:00:00,7250.0,0.014,1.002,-10.339,0.663
a,2025-08-02 00:00:00,7500.0,0.014,1.002,-11.671,0.47
a,2025-08-02 00:00:00,7750.0,0.02,1.008,-13.125,0.169
a,2025-08-02 00:00:00,8000.0,0.0,9.418,-14.666,0.56
a,2025-08-02 00:00:00,8250.0,0.0,1.006,-16.296,0.178
a,2025-08-02 00:00:00,8500.0,0.0,1.003,-17.86,0.012
a,2025-08-02 00:00:00,8750.0,0.0,1.552,-19.435,0.018
a,2025-08-02 00:00:00,9000.0,0.0,1.007,-21.102,0.016
a,2025-08-02 00:00:00,9250.0,0.0,17.047,-22.791,0.339
a,2025-08-02 00:00:00,9500.0,0.0,35.044,-24.488,0.009
a,2025-08-02 00:00:00,9750.0,0.0,29.922,-26.125,0.262
a,2025-08-02 00:00:00,10000.0,0.0,28.445,-27.954,0.161
a,2025-08-02 00:02:00,0.0,2.023,94.5,25.6,22.498
a,2025-08-02 00:02:00,25.0,1.792,92.102,25.54,21.774
a,2025-08-02 00:02:00,50.0,1.561,89.704,25.48,21.05
a,2025-08-02 00:02:00,75.0,1.33,87.306,25.42,20.327
a,2025-08-02 00:02:00,100.0,1.099,84.908,25.36,19.603
a,2025-08-02 00:02:00,125.0,1.156,84.023,25.34,19.086
a,2025-08-02 00:02:00,150.0,1.213,83.138,25.32,18.569
a,2025-08-02 00:02:00,175.0,1.271,82.253,25.3,18.052
a,2025-08-02 00:02:00,200.0,1.328,81.368,25.28,17.535
a,2025-08-02 00:02:00,225.0,1.198,78.234,25.261,16.636
a,2025-08-02 00:02:00,250.0,1.069,75.1,25.243,15.736
a,2025-08-02 00:02:00,275.0,0.939,71.966,25.224,14.837
a,2025-08-02 00:02:00,300.0,0.81,68.832,25.205,13.937
a,2025-08-02 00:02:00,325.0,0.78,64.438,25.185,13.221
a,2025-08-02 00:02:00,350.0,0.751,60.043,25.165,12.505
a,2025-08-02 00:02:00,375.0,0.722,55.649,25.144,11.789
a,2025-08-02 00:02:00,400.0,0.693,51.254,25.124,11.073
a,2025-08-02 00:02:00,425.0,0.58,48.732,25.079,10.42
a,2025-08-02 00:02:00,450.0,0.467,46.21,25.034,9.766
a,2025-08-02 00:02:00,475.0,0.354,43.688,24.99,9.113
a,2025-08-02 00:02:00,500.0,0.241,41.166,24.945,8.459
a,2025-08-02 00:02:00,550.0,0.177,41.425,24.791,7.76
a,2025-08-02 00:02:00,600.0,0.113,41.685,24.637,7.062
a,2025-08-02 00:02:00,650.0,0.063,40.774,24.443,6.698
a,2025-08-02 00:02:00,700.0,0.013,39.863,24.249,6.335
a,2025-08-02 00:02:00,750.0,0.007,37.01,23.948,5.8
a,2025-08-02 00:02:00,800.0,0.0,34.157,23.647,5.265
a,2025-08-02 00:02:00,850.0,0.0,30.261,23.38,4.202
a,2025-08-02 00:02:00,900.0,0.0,26.365,23.112,3.14
a,2025-08-02 00:02:00,950.0,0.0,22.907,22.816,3.02
a,2025-08-02 00:02:00,1000.0,0.0,19.449,22.521,2.901
a,2025-08-02 00:02:00,1050.0,0.0,18.067,22.215,2.934
a,2025-08-02 00:02:00,1100.0,0.0,16.684,21.908,2.967
a,2025-08-02 00:02:00,1150.0,0.0,15.47,21.648,2.458
a,2025-08-02 00:02:00,1200.0,0.0,14.257,21.388,1.95
a,2025-08-02 00:02:00,1250.0,0.0,8.958,21.103,1.371
a,2025-08-02 00:02:00,1300.0,0.0,3.659,20.818,0.792
a,2025-08-02 00:02:00,1350.0,0.0,3.603,20.56,0.724
a,2025-08-02 00:02:00,1400.0,0.0,3.548,20.302,0.656
a,2025-08-02 00:02:00,1450.0,0.0,2.947,19.998,0.534
a,2025-08-02 00:02:00,1500.0,0.0,2.345,19.693,0.413
a,2025-08-02 00:02:00,1550.0,0.0,2.826,19.418,0.488
a,2025-08-02 00:02:00,1600.0,0.0,3.307,19.143,0.563
a,2025-08-02 00:02:00,1650.0,0.0,4.075,18.895,0.683
a,2025-08-02 00:02:00,1700.0,0.0,4.844,18.648,0.803
a,2025-08-02 00:02:00,1750.0,0.0,5.454,18.406,0.992
a,2025-08-02 00:02:00,1800.0,0.0,6.064,18.164,1.181
a,2025-08-02 00:02:00,1850.0,0.0,6.479,17.914,1.186
a,2025-08-02 00:02:00,1900.0,0.0,6.893,17.664,1.19
a,2025-08-02 00:02:00,1950.0,0.0,6.704,17.424,1.143
a,2025-08-02 00:02:00,2000.0,0.0,6.515,17.184,1.096
a,2025-08-02 00:02:00,2250.0,0.0,5.558,15.849,0.873
a,2025-08-02 00:02:00,2500.0,0.0,5.913,14.528,0.208
a,2025-08-02 00:02:00,2750.0,0.0,16.446,13.188,0.229
a,2025-08-02 00:02:00,3000.0,0.0,40.225,11.869,2.201
a,2025-08-02 00:02:00,3250.0,0.0,41.497,10.701,2.341
a,2025-08-02 00:02:00,3500.0,0.005,31.558,9.232,2.671
a,2025-08-02 00:02:00,3750.0,0.0,36.973,7.936,2.006
a,2025-08-02 00:02:00,4000.0,0.025,32.386,6.626,1.371
a,2025-08-02 00:02:00,4250.0,0.0,22.137,5.253,1.545
a,2025-08-02 00:02:00,4500.0,0.033,9.784,3.812,1.952
a,2025-08-02 00:02:00,4750.0,0.0,22.401,2.493,2.135
a,2025-08-02 00:02:00,5000.0,0.017,10.936,1.317,0.403
a,2025-08-02 00:02:00,5250.0,0.073,8.273,0.095,1.25
a,2025-08-02 00:02:00,5500.0,0.069,1.007,-1.092,1.081
a,2025-08-02 00:02:00,5750.0,0.058,1.007,-2.175,0.645
a,2025-08-02 00:02:00,6000.0,0.026,1.001,-3.615,0.188
a,2025-08-02 00:02:00,6250.0,0.018,1.007,-4.937,0.277
a,2025-08-02 00:02:00,6500.0,0.017,1.007,-6.322,0.757
a,2025-08-02 00:02:00,6750.0,0.018,1.006,-7.71,0.539
a,2025-08-02 00:02:00,7000.0,0.014,1.004,-8.995,0.516
a,2025-08-02 00:02:00,7250.0,0.014,1.004,-10.291,0.659
a,2025-08-02 00:02:00,7500.0,0.014,1.007,-11.621,0.465
a,2025-08-02 00:02:00,7750.0,0.02,1.0,-13.073,0.159
a,2025-08-02 00:02:00,8000.0,0.0,9.403,-14.611,0.558
a,2025-08-02 00:02:00,8250.0,0.0,1.001,-16.239,0.171
a,2025-08-02 00:02:00,8500.0,0.0,1.005,-17.803,0.013
a,2025-08-02 00:02:00,8750.0,0.0,1.533,-19.378,0.017
a,2025-08-02 00:02:00,9000.0,0.0,1.004,-21.045,0.011
a,2025-08-02 00:02:00,9250.0,0.0,17.005,-22.733,0.338
a,2025-08-02 00:02:00,9500.0,0.0,34.993,-24.429,0.009
a,2025-08-02 00:02:00,9750.0,0.0,29.872,-26.068,0.261
a,2025-08-02 00:02:00,10000.0,0.0,28.398,-27.896,0.161
a,2025-08-02 00:04:00,0.0,2.022,94.5,25.6,22.498
a,2025-08-02 00:04:00,25.0,1.791,92.102,25.543,21.771
a,2025-08-02 00:04:00,50.0,1.56,89.704,25.486,21.044
a,2025-08-02 00:04:00,75.0,1.329,87.306,25.429,20.318
a,2025-08-02 00:04:00,100.0,1.098,84.908,25.372,19.591
a,2025-08-02 00:04:00,125.0,1.155,84.022,25.352,19.074
a,2025-08-02 00:04:00,150.0,1.212,83.136,25.332,18.557
a,2025-08-02 00:04:00,175.0,1.269,82.249,25.312,18.041
a,2025-08-02 00:04:00,200.0,1.326,81.363,25.292,17.524
a,2025-08-02 00:04:00,225.0,1.197,78.228,25.275,16.625
a,2025-08-02 00:04:00,250.0,1.067,75.092,25.259,15.726
a,2025-08-02 00:04:00,275.0,0.937,71.956,25.242,14.828
a,2025-08-02 00:04:00,300.0,0.808,68.82,25.225,13.929
a,2025-08-02 00:04:00,325.0,0.779,64.425,25.205,13.214
a,2025-08-02 00:04:00,350.0,0.75,60.031,25.185,12.499
a,2025-08-02 00:04:00,375.0,0.72,55.637,25.165,11.785
a,2025-08-02 00:04:00,400.0,0.691,51.242,25.145,11.07
a,2025-08-02 00:04:00,425.0,0.579,48.723,25.101,10.417
a,2025-08-02 00:04:00,450.0,0.466,46.204,25.056,9.765
a,2025-08-02 00:04:00,475.0,0.353,43.684,25.012,9.112
a,2025-08-02 00:04:00,500.0,0.24,41.165,24.967,8.46
a,2025-08-02 00:04:00,550.0,0.176,41.43,24.812,7.762
a,2025-08-02 00:04:00,600.0,0.112,41.695,24.657,7.065
a,2025-08-02 00:04:00,650.0,0.062,40.788,24.46,6.703
a,2025-08-02 00:04:00,700.0,0.013,39.881,24.263,6.341
a,2025-08-02 00:04:00,750.0,0.006,37.032,23.961,5.8
a,2025-08-02 00:04:00,800.0,0.0,34.182,23.658,5.26
a,2025-08-02 00:04:00,850.0,0.0,30.283,23.388,4.198
a,2025-08-02 00:04:00,900.0,0.0,26.383,23.117,3.136
a,2025-08-02 00:04:00,950.0,0.0,22.922,22.819,3.018
a,2025-08-02 00:04:00,1000.0,0.0,19.46,22.521,2.899
a,2025-08-02 00:04:00,1050.0,0.0,18.078,22.213,2.932
a,2025-08-02 00:04:00,1100.0,0.0,16.697,21.905,2.966
a,2025-08-02 00:04:00,1150.0,0.0,15.48,21.645,2.459
a,2025-08-02 00:04:00,1200.0,0.0,14.263,21.384,1.952
a,2025-08-02 00:04:00,1250.0,0.0,8.962,21.098,1.373
a,2025-08-02 00:04:00,1300.0,0.0,3.66,20.812,0.794
a,2025-08-02 00:04:00,1350.0,0.0,3.602,20.552,0.725
a,2025-08-02 00:04:00,1400.0,0.0,3.544,20.292,0.656
a,2025-08-02 00:04:00,1450.0,0.0,2.949,19.987,0.537
a,2025-08-02 00:04:00,1500.0,0.0,2.353,19.682,0.417
a,2025-08-02 00:04:00,1550.0,0.0,2.831,19.406,0.493
a,2025-08-02 00:04:00,1600.0,0.0,3.309,19.129,0.569
a,2025-08-02 00:04:00,1650.0,0.0,4.073,18.879,0.685
a,2025-08-02 00:04:00,1700.0,0.0,4.837,18.629,0.801
a,2025-08-02 00:04:00,1750.0,0.0,5.452,18.388,0.989
a,2025-08-02 00:04:00,1800.0,0.0,6.067,18.147,1.178
a,2025-08-02 00:04:00,1850.0,0.0,6.481,17.896,1.184
a,2025-08-02 00:04:00,1900.0,0.0,6.896,17.644,1.19
a,2025-08-02 00:04:00,1950.0,0.0,6.705,17.402,1.14
a,2025-08-02 00:04:00,2000.0,0.0,6.515,17.16,1.09
a,2025-08-02 00:04:00,2250.0,0.0,5.563,15.824,0.87
a,2025-08-02 00:04:00,2500.0,0.0,5.937,14.501,0.208
a,2025-08-02 00:04:00,2750.0,0.0,16.489,13.161,0.234
a,2025-08-02 00:04:00,3000.0,0.0,40.266,11.843,2.209
a,2025-08-02 00:04:00,3250.0,0.0,41.503,10.675,2.346
a,2025-08-02 00:04:00,3500.0,0.005,31.561,9.208,2.667
a,2025-08-02 00:04:00,3750.0,0.0,36.959,7.914,1.998
a,2025-08-02 00:04:00,4000.0,0.025,32.365,6.605,1.367
a,2025-08-02 00:04:00,4250.0,0.0,22.094,5.232,1.538
a,2025-08-02 00:04:00,4500.0,0.033,9.739,3.795,1.94
a,2025-08-02 00:04:00,4750.0,0.0,22.303,2.476,2.127
a,2025-08-02 00:04:00,5000.0,0.017,10.847,1.301,0.393
a,2025-08-02 00:04:00,5250.0,0.073,8.206,0.084,1.242
a,2025-08-02 00:04:00,5500.0,0.069,1.004,-1.107,1.069
a,2025-08-02 00:04:00,5750.0,0.058,1.005,-2.188,0.634
a,2025-08-02 00:04:00,6000.0,0.026,1.003,-3.633,0.179
a,2025-08-02 00:04:00,6250.0,0.018,1.008,-4.957,0.259
a,2025-08-02 00:04:00,6500.0,0.017,1.002,-6.342,0.75
a,2025-08-02 00:04:00,6750.0,0.018,1.008,-7.733,0.534
a,2025-08-02 00:04:00,7000.0,0.014,1.01,-9.017,0.514
a,2025-08-02 00:04:00,7250.0,0.014,1.004,-10.314,0.66
a,2025-08-02 00:04:00,7500.0,0.014,1.0,-11.644,0.465
a,2025-08-02 00:04:00,7750.0,0.02,1.003,-13.098,0.148
a,2025-08-02 00:04:00,8000.0,0.0,9.368,-14.637,0.558
a,2025-08-02 00:04:00,8250.0,0.0,1.009,-16.261,0.163
a,2025-08-02 00:04:00,8500.0,0.0,1.005,-17.828,0.018
a,2025-08-02 00:04:00,8750.0,0.0,1.53,-19.405,0.01
a,2025-08-02 00:04:00,9000.0,0.0,1.005,-21.071,0.008
a,2025-08-02 00:04:00,9250.0,0.0,17.016,-22.758,0.34
a,2025-08-02 00:04:00,9500.0,0.0,35.023,-24.452,0.006
a,2025-08-02 00:04:00,9750.0,0.0,29.898,-26.088,0.261
a,2025-08-02 00:04:00,10000.0,0.0,28.445,-27.917,0.162
a,2025-08-02 00:06:00,0.0,2.023,94.5,25.6,22.498
a,2025-08-02 00:06:00,25.0,1.791,92.098,25.539,21.777
a,2025-08-02 00:06:00,50.0,1.56,89.696,25.478,21.056
a,2025-08-02 00:06:00,75.0,1.329,87.293,25.416,20.335
a,2025-08-02 00:06:00,100.0,1.098,84.891,25.355,19.614
a,2025-08-02 00:06:00,125.0,1.155,84.003,25.333,19.1
a,2025-08-02 00:06:00,150.0,1.212,83.115,25.31,18.586
a,2025-08-02 00:06:00,175.0,1.269,82.227,25.288,18.072
a,2025-08-02 00:06:00,200.0,1.326,81.339,25.265,17.558
a,2025-08-02 00:06:00,225.0,1.197,78.201,25.244,16.662
a,2025-08-02 00:06:00,250.0,1.067,75.062,25.223,15.766
a,2025-08-02 00:06:00,275.0,0.937,71.924,25.202,14.87
a,2025-08-02 00:06:00,300.0,0.808,68.786,25.18,13.974
a,2025-08-02 00:06:00,325.0,0.779,64.392,25.157,13.259
a,2025-08-02 00:06:00,350.0,0.75,59.998,25.134,12.544
a,2025-08-02 00:06:00,375.0,0.72,55.604,25.111,11.829
a,2025-08-02 00:06:00,400.0,0.691,51.209,25.088,11.114
a,2025-08-02 00:06:00,425.0,0.579,48.692,25.041,10.46
a,2025-08-02 00:06:00,450.0,0.466,46.174,24.995,9.806
a,2025-08-02 00:06:00,475.0,0.353,43.657,24.948,9.152
a,2025-08-02 00:06:00,500.0,0.24,41.139,24.901,8.498
a,2025-08-02 00:06:00,550.0,0.176,41.407,24.746,7.796
a,2025-08-02 00:06:00,600.0,0.112,41.674,24.592,7.093
a,2025-08-02 00:06:00,650.0,0.062,40.772,24.397,6.715
a,2025-08-02 00:06:00,700.0,0.013,39.869,24.202,6.337
a,2025-08-02 00:06:00,750.0,0.006,37.022,23.903,5.801
a,2025-08-02 00:06:00,800.0,0.0,34.174,23.604,5.266
a,2025-08-02 00:06:00,850.0,0.0,30.27,23.337,4.207
a,2025-08-02 00:06:00,900.0,0.0,26.366,23.07,3.149
a,2025-08-02 00:06:00,950.0,0.0,22.903,22.776,3.025
a,2025-08-02 00:06:00,1000.0,0.0,19.44,22.481,2.902
a,2025-08-02 00:06:00,1050.0,0.0,18.061,22.177,2.932
a,2025-08-02 00:06:00,1100.0,0.0,16.682,21.872,2.963
a,2025-08-02 00:06:00,1150.0,0.0,15.471,21.613,2.46
a,2025-08-02 00:06:00,1200.0,0.0,14.26,21.355,1.957
a,2025-08-02 00:06:00,1250.0,0.0,8.96,21.07,1.372
a,2025-08-02 00:06:00,1300.0,0.0,3.66,20.785,0.787
a,2025-08-02 00:06:00,1350.0,0.0,3.601,20.527,0.719
a,2025-08-02 00:06:00,1400.0,0.0,3.542,20.269,0.65
a,2025-08-02 00:06:00,1450.0,0.0,2.948,19.965,0.533
a,2025-08-02 00:06:00,1500.0,0.0,2.353,19.662,0.416
a,2025-08-02 00:06:00,1550.0,0.0,2.832,19.389,0.492
a,2025-08-02 00:06:00,1600.0,0.0,3.311,19.115,0.568
a,2025-08-02 00:06:00,1650.0,0.0,4.077,18.867,0.687
a,2025-08-02 00:06:00,1700.0,0.0,4.843,18.619,0.806
a,2025-08-02 00:06:00,1750.0,0.0,5.452,18.377,0.992
a,2025-08-02 00:06:00,1800.0,0.0,6.06,18.135,1.178
a,2025-08-02 00:06:00,1850.0,0.0,6.475,17.885,1.184
a,2025-08-02 00:06:00,1900.0,0.0,6.891,17.634,1.19
a,2025-08-02 00:06:00,1950.0,0.0,6.702,17.395,1.141
a,2025-08-02 00:06:00,2000.0,0.0,6.513,17.155,1.091
a,2025-08-02 00:06:00,2250.0,0.0,5.56,15.825,0.879
a,2025-08-02 00:06:00,2500.0,0.0,5.948,14.509,0.213
a,2025-08-02 00:06:00,2750.0,0.0,16.521,13.172,0.229
a,2025-08-02 00:06:00,3000.0,0.0,40.338,11.858,2.2
a,2025-08-02 00:06:00,3250.0,0.0,41.578,10.693,2.342
a,2025-08-02 00:06:00,3500.0,0.005,31.647,9.229,2.666
a,2025-08-02 00:06:00,3750.0,0.0,37.036,7.931,1.997
a,2025-08-02 00:06:00,4000.0,0.025,32.43,6.623,1.372
a,2025-08-02 00:06:00,4250.0,0.0,22.143,5.25,1.54
a,2025-08-02 00:06:00,4500.0,0.033,9.775,3.815,1.944
a,2025-08-02 00:06:00,4750.0,0.0,22.332,2.5,2.131
a,2025-08-02 00:06:00,5000.0,0.017,10.853,1.322,0.402
a,2025-08-02 00:06:00,5250.0,0.073,8.214,0.101,1.25
a,2025-08-02 00:06:00,5500.0,0.069,1.002,-1.088,1.078
a,2025-08-02 00:06:00,5750.0,0.058,1.003,-2.178,0.643
a,2025-08-02 00:06:00,6000.0,0.026,1.003,-3.614,0.188
a,2025-08-02 00:06:00,6250.0,0.018,1.008,-4.94,0.267
a,2025-08-02 00:06:00,6500.0,0.017,1.004,-6.322,0.757
a,2025-08-02 00:06:00,6750.0,0.018,1.007,-7.709,0.537
a,2025-08-02 00:06:00,7000.0,0.014,1.005,-8.995,0.516
a,2025-08-02 00:06:00,7250.0,0.014,1.01,-10.296,0.66
a,2025-08-02 00:06:00,7500.0,0.014,1.0,-11.63,0.464
a,2025-08-02 00:06:00,7750.0,0.02,1.009,-13.083,0.148
a,2025-08-02 00:06:00,8000.0,0.0,9.307,-14.622,0.556
a,2025-08-02 00:06:00,8250.0,0.0,1.006,-16.248,0.16
a,2025-08-02 00:06:00,8500.0,0.0,1.005,-17.813,0.014
a,2025-08-02 00:06:00,8750.0,0.0,1.501,-19.391,0.012
a,2025-08-02 00:06:00,9000.0,0.0,1.005,-21.06,0.011
a,2025-08-02 00:06:00,9250.0,0.0,16.976,-22.751,0.338
a,2025-08-02 00:06:00,9500.0,0.0,34.977,-24.449,0.012
a,2025-08-02 00:06:00,9750.0,0.0,29.852,-26.09,0.261
a,2025-08-02 00:06:00,10000.0,0.0,28.394,-27.92,0.162
a,2025-08-02 00:08:00,0.0,2.022,94.5,25.6,22.498
a,2025-08-02 00:08:00,25.0,1.791,92.1,25.54,21.774
a,2025-08-02 00:08:00,50.0,1.559,89.7,25.48,21.051
a,2025-08-02 00:08:00,75.0,1.328,87.3,25.42,20.327
a,2025-08-02 00:08:00,100.0,1.097,84.9,25.36,19.604
a,2025-08-02 00:08:00,125.0,1.154,84.013,25.339,19.088
a,2025-08-02 00:08:00,150.0,1.211,83.125,25.319,18.573
a,2025-08-02 00:08:00,175.0,1.268,82.238,25.298,18.058
a,2025-08-02 00:08:00,200.0,1.325,81.351,25.277,17.542
a,2025-08-02 00:08:00,225.0,1.196,78.213,25.259,16.645
a,2025-08-02 00:08:00,250.0,1.066,75.076,25.24,15.748
a,2025-08-02 00:08:00,275.0,0.937,71.938,25.221,14.852
a,2025-08-02 00:08:00,300.0,0.807,68.801,25.203,13.955
a,2025-08-02 00:08:00,325.0,0.778,64.407,25.182,13.24
a,2025-08-02 00:08:00,350.0,0.749,60.013,25.161,12.526
a,2025-08-02 00:08:00,375.0,0.72,55.619,25.14,11.811
a,2025-08-02 00:08:00,400.0,0.69,51.225,25.12,11.096
a,2025-08-02 00:08:00,425.0,0.578,48.708,25.075,10.444
a,2025-08-02 00:08:00,450.0,0.465,46.191,25.03,9.791
a,2025-08-02 00:08:00,475.0,0.353,43.674,24.985,9.139
a,2025-08-02 00:08:00,500.0,0.24,41.157,24.94,8.486
a,2025-08-02 00:08:00,550.0,0.176,41.426,24.786,7.787
a,2025-08-02 00:08:00,600.0,0.112,41.695,24.632,7.089
a,2025-08-02 00:08:00,650.0,0.062,40.792,24.438,6.713
a,2025-08-02 00:08:00,700.0,0.013,39.888,24.244,6.337
a,2025-08-02 00:08:00,750.0,0.006,37.04,23.943,5.799
a,2025-08-02 00:08:00,800.0,0.0,34.192,23.642,5.261
a,2025-08-02 00:08:00,850.0,0.0,30.288,23.374,4.21
a,2025-08-02 00:08:00,900.0,0.0,26.384,23.106,3.159
a,2025-08-02 00:08:00,950.0,0.0,22.92,22.81,3.028
a,2025-08-02 00:08:00,1000.0,0.0,19.456,22.514,2.896
a,2025-08-02 00:08:00,1050.0,0.0,18.075,22.208,2.932
a,2025-08-02 00:08:00,1100.0,0.0,16.695,21.902,2.969
a,2025-08-02 00:08:00,1150.0,0.0,15.479,21.642,2.461
a,2025-08-02 00:08:00,1200.0,0.0,14.262,21.382,1.953
a,2025-08-02 00:08:00,1250.0,0.0,8.96,21.097,1.373
a,2025-08-02 00:08:00,1300.0,0.0,3.658,20.812,0.794
a,2025-08-02 00:08:00,1350.0,0.0,3.604,20.554,0.726
a,2025-08-02 00:08:00,1400.0,0.0,3.551,20.296,0.657
a,2025-08-02 00:08:00,1450.0,0.0,2.951,19.991,0.537
a,2025-08-02 00:08:00,1500.0,0.0,2.352,19.687,0.417
a,2025-08-02 00:08:00,1550.0,0.0,2.834,19.412,0.491
a,2025-08-02 00:08:00,1600.0,0.0,3.316,19.138,0.564
a,2025-08-02 00:08:00,1650.0,0.0,4.076,18.89,0.683
a,2025-08-02 00:08:00,1700.0,0.0,4.837,18.642,0.802
a,2025-08-02 00:08:00,1750.0,0.0,5.45,18.401,0.99
a,2025-08-02 00:08:00,1800.0,0.0,6.062,18.16,1.177
a,2025-08-02 00:08:00,1850.0,0.0,6.476,17.91,1.181
a,2025-08-02 00:08:00,1900.0,0.0,6.891,17.66,1.184
a,2025-08-02 00:08:00,1950.0,0.0,6.7,17.42,1.14
a,2025-08-02 00:08:00,2000.0,0.0,6.51,17.18,1.096
a,2025-08-02 00:08:00,2250.0,0.0,5.557,15.847,0.875
a,2025-08-02 00:08:00,2500.0,0.0,5.945,14.526,0.206
a,2025-08-02 00:08:00,2750.0,0.0,16.516,13.186,0.219
a,2025-08-02 00:08:00,3000.0,0.0,40.308,11.868,2.184
a,2025-08-02 00:08:00,3250.0,0.0,41.532,10.699,2.326
a,2025-08-02 00:08:00,3500.0,0.005,31.592,9.23,2.653
