station,time,height,wind_direction,wind_speed,vertical_velocity,horizontal_reliability,vertical_reliability,cn2
a,2025-08-02 00:06:00,2260.0,271.6,2.3,-0.2,100.0,100.0,4.9e-17
a,2025-08-02 00:06:00,2500.0,243.0,2.5,-0.0,100.0,100.0,2.6e-17
a,2025-08-02 00:06:00,2740.0,238.7,2.8,0.0,100.0,100.0,3.7e-17
a,2025-08-02 00:06:00,2980.0,232.1,3.1,0.0,100.0,100.0,2.6e-17
a,2025-08-02 00:06:00,3220.0,228.7,3.0,0.1,100.0,100.0,2.1e-17
a,2025-08-02 00:06:00,3460.0,232.9,3.0,0.1,100.0,100.0,3.9e-17
a,2025-08-02 00:06:00,3700.0,259.6,3.1,0.1,100.0,100.0,5.6e-17
a,2025-08-02 00:06:00,3940.0,270.1,3.6,0.1,100.0,100.0,2.5e-17
a,2025-08-02 00:06:00,4180.0,280.1,4.0,0.1,100.0,100.0,3.6e-17
a,2025-08-02 00:06:00,4420.0,280.0,4.9,0.2,100.0,100.0,2.7e-17
a,2025-08-02 00:06:00,4660.0,,,,,,
a,2025-08-02 00:06:00,4900.0,,,,,,
a,2025-08-02 00:06:00,5140.0,,,,,,
a,2025-08-02 00:06:00,5380.0,,,,,,
a,2025-08-02 00:06:00,5620.0,,,,,,
a,2025-08-02 00:06:00,5860.0,,,,,,
a,2025-08-02 00:06:00,6100.0,,,,,,
a,2025-08-02 00:06:00,6340.0,,,,,,
a,2025-08-02 00:06:00,6580.0,,,,,,
a,2025-08-02 00:06:00,6820.0,,,,,,
a,2025-08-02 00:06:00,7060.0,,,,,,
a,2025-08-02 00:06:00,7300.0,,,,,,
a,2025-08-02 00:06:00,7540.0,,,,,,
a,2025-08-02 00:06:00,7780.0,,,,,,
a,2025-08-02 00:06:00,8020.0,,,,,,
a,2025-08-02 00:06:00,8260.0,,,,,,
a,2025-08-02 00:06:00,8500.0,,,,,,
a,2025-08-02 00:06:00,8740.0,,,,,,
a,2025-08-02 00:06:00,8980.0,,,,,,
a,2025-08-02 00:06:00,9220.0,,,,,,
a,2025-08-02 00:06:00,9460.0,,,,,,
a,2025-08-02 00:06:00,9700.0,,,,,,
a,2025-08-02 00:06:00,9940.0,,,,,,
a,2025-08-02 00:06:00,10180.0,,,,,,
a,2025-08-02 00:06:00,10420.0,,,,,,
a,2025-08-02 00:06:00,10660.0,,,,,,
a,2025-08-02 00:06:00,10900.0,,,,,,
a,2025-08-02 00:06:00,11140.0,,,,,,
a,2025-08-02 00:06:00,11380.0,,,,,,
a,2025-08-02 00:12:00,100.0,135.3,3.5,0.0,100.0,100.0,2.2e-16
a,2025-08-02 00:12:00,160.0,142.3,3.5,0.0,100.0,100.0,3.6e-16
a,2025-08-02 00:12:00,220.0,150.5,3.3,0.0,100.0,100.0,1.9e-16
a,2025-08-02 00:12:00,280.0,157.5,2.9,0.0,100.0,100.0,2.1e-16
a,2025-08-02 00:12:00,340.0,164.3,2.7,0.1,100.0,100.0,2e-16
a,2025-08-02 00:12:00,400.0,122.7,1.4,-0.0,100.0,100.0,2.3e-16
a,2025-08-02 00:12:00,460.0,122.3,1.3,-0.0,100.0,100.0,1.8e-16
a,2025-08-02 00:12:00,520.0,79.3,0.9,0.0,100.0,100.0,1.3e-16
a,2025-08-02 00:12:00,580.0,39.9,0.2,0.0,100.0,100.0,1.4e-16
a,2025-08-02 00:12:00,640.0,253.6,0.4,0.0,100.0,100.0,1.3e-16
a,2025-08-02 00:12:00,700.0,267.7,1.2,-0.0,100.0,100.0,1.5e-16
a,2025-08-02 00:12:00,760.0,251.5,1.4,0.0,100.0,100.0,1.7e-16
a,2025-08-02 00:12:00,820.0,236.6,1.9,-0.1,100.0,100.0,1.2e-16
a,2025-08-02 00:12:00,940.0,247.7,1.6,-0.1,100.0,100.0,6.4e-17
a,2025-08-02 00:12:00,1060.0,254.5,1.1,-0.0,100.0,100.0,8.6e-17
a,2025-08-02 00:12:00,1180.0,254.2,0.7,0.0,100.0,100.0,2.3e-16
a,2025-08-02 00:12:00,1300.0,250.4,0.5,-0.1,100.0,100.0,1.6e-16
a,2025-08-02 00:12:00,1420.0,252.4,0.4,-0.0,100.0,100.0,5.9e-17
a,2025-08-02 00:12:00,1540.0,255.9,0.7,-0.1,100.0,100.0,9.5e-17
a,2025-08-02 00:12:00,1660.0,262.3,1.0,0.0,100.0,100.0,3.8e-17
a,2025-08-02 00:12:00,1780.0,289.7,1.7,0.0,100.0,100.0,1e-16
a,2025-08-02 00:12:00,1900.0,289.2,1.0,-0.0,100.0,100.0,6.9e-17
a,2025-08-02 00:12:00,2020.0,302.6,2.8,-0.2,100.0,100.0,6.9e-17
a,2025-08-02 00:12:00,2260.0,272.8,2.2,-0.1,100.0,100.0,7.2e-17
a,2025-08-02 00:12:00,2500.0,253.6,2.2,-0.1,100.0,100.0,3.9e-17
a,2025-08-02 00:12:00,2740.0,244.2,2.4,0.0,100.0,100.0,4.7e-17
a,2025-08-02 00:12:00,2980.0,240.0,2.6,0.0,100.0,100.0,3.3e-17
a,2025-08-02 00:12:00,3220.0,244.8,2.6,0.1,100.0,100.0,2.3e-17
a,2025-08-02 00:12:00,3460.0,255.4,3.1,0.1,100.0,100.0,8.7e-17
a,2025-08-02 00:12:00,3700.0,277.1,3.9,0.1,100.0,100.0,3.4e-17
a,2025-08-02 00:12:00,3940.0,279.4,4.3,0.2,100.0,100.0,2.3e-17
a,2025-08-02 00:12:00,4180.0,288.1,4.8,0.2,100.0,100.0,5.2e-17
a,2025-08-02 00:12:00,4420.0,288.6,5.2,0.2,100.0,100.0,4.6e-17
a,2025-08-02 00:12:00,4660.0,,,,,,
a,2025-08-02 00:12:00,4900.0,,,,,,
a,2025-08-02 00:12:00,5140.0,,,,,,
a,2025-08-02 00:12:00,5380.0,,,,,,
a,2025-08-02 00:12:00,5620.0,,,,,,
a,2025-08-02 00:12:00,5860.0,,,,,,
a,2025-08-02 00:12:00,6100.0,,,,,,
a,2025-08-02 00:12:00,6340.0,,,,,,
a,2025-08-02 00:12:00,6580.0,,,,,,
a,2025-08-02 00:12:00,6820.0,,,,,,
a,2025-08-02 00:12:00,7060.0,,,,,,
a,2025-08-02 00:12:00,7300.0,,,,,,
a,2025-08-02 00:12:00,7540.0,,,,,,
a,2025-08-02 00:12:00,7780.0,,,,,,
a,2025-08-02 00:12:00,8020.0,,,,,,
a,2025-08-02 00:12:00,8260.0,,,,,,
a,2025-08-02 00:12:00,8500.0,,,,,,
a,2025-08-02 00:12:00,8740.0,,,,,,
a,2025-08-02 00:12:00,8980.0,,,,,,
a,2025-08-02 00:12:00,9220.0,,,,,,
a,2025-08-02 00:12:00,9460.0,,,,,,
a,2025-08-02 00:12:00,9700.0,,,,,,
a,2025-08-02 00:12:00,9940.0,,,,,,
a,2025-08-02 00:12:00,10180.0,,,,,,
a,2025-08-02 00:12:00,10420.0,,,,,,
a,2025-08-02 00:12:00,10660.0,,,,,,
a,2025-08-02 00:12:00,10900.0,,,,,,
a,2025-08-02 00:12:00,11140.0,,,,,,
a,2025-08-02 00:12:00,11380.0,,,,,,
a,2025-08-02 00:18:00,100.0,139.7,3.3,-0.1,100.0,100.0,1.5e-16
a,2025-08-02 00:18:00,160.0,151.2,3.2,-0.0,100.0,100.0,2.9e-16
a,2025-08-02 00:18:00,220.0,166.9,3.1,0.0,100.0,100.0,1.4e-16
a,2025-08-02 00:18:00,280.0,180.6,3.3,0.1,100.0,100.0,1.9e-16
a,2025-08-02 00:18:00,340.0,189.5,3.2,0.2,100.0,100.0,1.7e-16
a,2025-08-02 00:18:00,400.0,181.0,2.5,0.2,100.0,100.0,2e-16
a,2025-08-02 00:18:00,460.0,190.3,2.2,0.2,100.0,100.0,1.5e-16
a,2025-08-02 00:18:00,520.0,208.3,1.3,0.0,100.0,100.0,1.1e-16
a,2025-08-02 00:18:00,580.0,221.2,1.2,0.0,100.0,100.0,1.1e-16
a,2025-08-02 00:18:00,640.0,224.8,1.4,0.0,100.0,100.0,1.1e-16
a,2025-08-02 00:18:00,700.0,238.5,1.4,-0.0,100.0,100.0,1.2e-16
a,2025-08-02 00:18:00,760.0,244.9,1.5,0.0,100.0,100.0,1.2e-16
a,2025-08-02 00:18:00,820.0,258.2,1.6,-0.0,100.0,100.0,1.1e-16
a,2025-08-02 00:18:00,940.0,275.1,2.3,-0.1,100.0,100.0,6.1e-17
a,2025-08-02 00:18:00,1060.0,290.3,1.7,0.1,100.0,100.0,9.3e-17
a,2025-08-02 00:18:00,1180.0,277.6,1.0,0.1,100.0,100.0,2e-16
a,2025-08-02 00:18:00,1300.0,305.5,0.8,-0.0,100.0,100.0,2.4e-16
a,2025-08-02 00:18:00,1420.0,257.5,0.5,-0.0,100.0,100.0,1.1e-16
a,2025-08-02 00:18:00,1540.0,257.2,0.7,-0.1,100.0,100.0,1.2e-16
a,2025-08-02 00:18:00,1660.0,256.4,1.2,-0.1,100.0,100.0,5.8e-17
a,2025-08-02 00:18:00,1780.0,287.4,1.7,-0.1,100.0,100.0,1.1e-16
a,2025-08-02 00:18:00,1900.0,289.2,1.0,-0.1,100.0,100.0,1.2e-16
a,2025-08-02 00:18:00,2020.0,280.3,1.9,-0.2,100.0,100.0,7.5e-17
a,2025-08-02 00:18:00,2260.0,260.4,1.9,-0.1,100.0,100.0,8.5e-17
a,2025-08-02 00:18:00,2500.0,253.2,2.0,-0.1,100.0,100.0,4.3e-17
a,2025-08-02 00:18:00,2740.0,246.8,2.3,-0.1,100.0,100.0,5.9e-17
a,2025-08-02 00:18:00,2980.0,247.4,2.3,-0.0,100.0,100.0,4.1e-17
a,2025-08-02 00:18:00,3220.0,257.8,2.5,-0.0,100.0,100.0,2.7e-17
a,2025-08-02 00:18:00,3460.0,258.3,3.4,-0.0,100.0,100.0,8.5e-17
a,2025-08-02 00:18:00,3700.0,280.3,4.1,0.0,100.0,100.0,1.6e-17
a,2025-08-02 00:18:00,3940.0,288.5,4.3,0.1,100.0,100.0,2e-17
a,2025-08-02 00:18:00,4180.0,297.9,4.5,0.2,100.0,100.0,5.2e-17
a,2025-08-02 00:18:00,4420.0,299.8,5.2,0.1,100.0,100.0,2.8e-17
a,2025-08-02 00:18:00,4660.0,311.3,4.8,0.3,100.0,100.0,3.5e-17
a,2025-08-02 00:18:00,4900.0,322.2,4.7,0.1,100.0,100.0,2.6e-17
a,2025-08-02 00:18:00,5140.0,,,,,,
a,2025-08-02 00:18:00,5380.0,,,,,,
a,2025-08-02 00:18:00,5620.0,,,,,,
a,2025-08-02 00:18:00,5860.0,,,,,,
a,2025-08-02 00:18:00,6100.0,,,,,,
a,2025-08-02 00:18:00,6340.0,,,,,,
a,2025-08-02 00:18:00,6580.0,,,,,,
a,2025-08-02 00:18:00,6820.0,,,,,,
a,2025-08-02 00:18:00,7060.0,,,,,,
a,2025-08-02 00:18:00,7300.0,,,,,,
a,2025-08-02 00:18:00,7540.0,,,,,,
a,2025-08-02 00:18:00,7780.0,,,,,,
a,2025-08-02 00:18:00,8020.0,,,,,,
a,2025-08-02 00:18:00,8260.0,,,,,,
a,2025-08-02 00:18:00,8500.0,,,,,,
a,2025-08-02 00:18:00,8740.0,,,,,,
a,2025-08-02 00:18:00,8980.0,,,,,,
a,2025-08-02 00:18:00,9220.0,,,,,,
a,2025-08-02 00:18:00,9460.0,,,,,,
a,2025-08-02 00:18:00,9700.0,,,,,,
a,2025-08-02 00:18:00,9940.0,,,,,,
a,2025-08-02 00:18:00,10180.0,,,,,,
a,2025-08-02 00:18:00,10420.0,,,,,,
a,2025-08-02 00:18:00,10660.0,,,,,,
a,2025-08-02 00:18:00,10900.0,,,,,,
a,2025-08-02 00:18:00,11140.0,,,,,,
a,2025-08-02 00:18:00,11380.0,,,,,,
a,2025-08-02 00:24:00,100.0,135.6,2.6,-0.1,100.0,100.0,1.8e-16
a,2025-08-02 00:24:00,160.0,150.2,2.8,-0.0,100.0,100.0,3.6e-16
a,2025-08-02 00:24:00,220.0,167.3,3.1,0.0,100.0,100.0,1.5e-16
a,2025-08-02 00:24:00,280.0,180.6,3.7,0.1,100.0,100.0,1.9e-16
a,2025-08-02 00:24:00,340.0,188.9,3.5,0.1,100.0,100.0,1.6e-16
a,2025-08-02 00:24:00,400.0,180.9,2.9,0.0,100.0,100.0,2.2e-16
a,2025-08-02 00:24:00,460.0,190.3,2.4,0.1,100.0,100.0,1.6e-16
a,2025-08-02 00:24:00,520.0,208.3,1.3,0.1,100.0,100.0,1.1e-16
a,2025-08-02 00:24:00,580.0,220.2,1.2,0.1,100.0,100.0,1e-16
a,2025-08-02 00:24:00,640.0,220.7,1.5,0.1,100.0,100.0,1.1e-16
a,2025-08-02 00:24:00,700.0,230.2,1.5,-0.0,100.0,100.0,1.1e-16
a,2025-08-02 00:24:00,760.0,232.9,1.4,0.0,100.0,100.0,9.1e-17
a,2025-08-02 00:24:00,820.0,239.3,1.0,-0.0,100.0,100.0,9e-17
a,2025-08-02 00:24:00,940.0,275.6,1.3,-0.2,100.0,100.0,4.8e-17
a,2025-08-02 00:24:00,1060.0,257.3,1.4,0.1,100.0,100.0,1.1e-16
a,2025-08-02 00:24:00,1180.0,261.2,1.3,0.0,100.0,100.0,1.7e-16
a,2025-08-02 00:24:00,1300.0,251.1,1.2,-0.0,100.0,100.0,2.5e-16
a,2025-08-02 00:24:00,1420.0,225.6,1.0,-0.2,100.0,100.0,1.9e-16
a,2025-08-02 00:24:00,1540.0,239.2,1.2,-0.2,100.0,100.0,1.8e-16
a,2025-08-02 00:24:00,1660.0,252.5,1.6,-0.3,100.0,100.0,8.5e-17
a,2025-08-02 00:24:00,1780.0,272.5,1.8,-0.3,100.0,100.0,1.7e-16
a,2025-08-02 00:24:00,1900.0,282.5,1.5,-0.2,100.0,100.0,1.2e-16
a,2025-08-02 00:24:00,2020.0,265.8,2.3,-0.2,100.0,100.0,8.2e-17
a,2025-08-02 00:24:00,2260.0,261.4,2.3,-0.1,100.0,100.0,7.8e-17
a,2025-08-02 00:24:00,2500.0,256.2,2.5,-0.1,100.0,100.0,4.3e-17
a,2025-08-02 00:24:00,2740.0,249.1,2.6,-0.0,100.0,100.0,6.7e-17
a,2025-08-02 00:24:00,2980.0,249.3,2.5,-0.0,100.0,100.0,9.1e-17
a,2025-08-02 00:24:00,3220.0,258.8,2.7,-0.1,100.0,100.0,4.1e-17
a,2025-08-02 00:24:00,3460.0,259.7,3.9,-0.1,100.0,100.0,6.9e-17
a,2025-08-02 00:24:00,3700.0,279.6,4.4,-0.0,100.0,100.0,3.4e-17
a,2025-08-02 00:24:00,3940.0,288.1,4.4,0.1,100.0,100.0,2.1e-17
a,2025-08-02 00:24:00,4180.0,294.7,4.3,0.1,100.0,100.0,5e-17
a,2025-08-02 00:24:00,4420.0,300.4,5.1,0.3,100.0,100.0,3.7e-17
a,2025-08-02 00:24:00,4660.0,296.8,4.1,0.3,100.0,100.0,6.8e-17
a,2025-08-02 00:24:00,4900.0,290.9,3.8,0.2,100.0,100.0,3.5e-17
a,2025-08-02 00:24:00,5140.0,321.6,4.7,0.1,100.0,100.0,4.5e-17
a,2025-08-02 00:24:00,5380.0,,,,,,
a,2025-08-02 00:24:00,5620.0,,,,,,
a,2025-08-02 00:24:00,5860.0,,,,,,
a,2025-08-02 00:24:00,6100.0,,,,,,
a,2025-08-02 00:24:00,6340.0,,,,,,
a,2025-08-02 00:24:00,6580.0,,,,,,
a,2025-08-02 00:24:00,6820.0,,,,,,
a,2025-08-02 00:24:00,7060.0,,,,,,
a,2025-08-02 00:24:00,7300.0,,,,,,
a,2025-08-02 00:24:00,7540.0,,,,,,
a,2025-08-02 00:24:00,7780.0,,,,,,
a,2025-08-02 00:24:00,8020.0,,,,,,
a,2025-08-02 00:24:00,8260.0,,,,,,
a,2025-08-02 00:24:00,8500.0,,,,,,
a,2025-08-02 00:24:00,8740.0,,,,,,
a,2025-08-02 00:24:00,8980.0,,,,,,
a,2025-08-02 00:24:00,9220.0,,,,,,
a,2025-08-02 00:24:00,9460.0,,,,,,
a,2025-08-02 00:24:00,9700.0,,,,,,
a,2025-08-02 00:24:00,9940.0,,,,,,
a,2025-08-02 00:24:00,10180.0,,,,,,
a,2025-08-02 00:24:00,10420.0,,,,,,
a,2025-08-02 00:24:00,10660.0,,,,,,
a,2025-08-02 00:24:00,10900.0,,,,,,
a,2025-08-02 00:24:00,11140.0,,,,,,
a,2025-08-02 00:24:00,11380.0,,,,,,
a,2025-08-02 00:30:00,100.0,123.0,2.2,0.1,100.0,100.0,2.3e-16
a,2025-08-02 00:30:00,160.0,147.2,2.6,0.1,100.0,100.0,4.2e-16
a,2025-08-02 00:30:00,220.0,166.9,3.0,0.1,100.0,100.0,1.2e-16
a,2025-08-02 00:30:00,280.0,180.6,3.7,0.1,100.0,100.0,2e-16
a,2025-08-02 00:30:00,340.0,189.1,3.4,0.1,100.0,100.0,2.2e-16
a,2025-08-02 00:30:00,400.0,180.9,2.8,-0.1,100.0,100.0,2.1e-16
a,2025-08-02 00:30:00,460.0,191.0,2.4,-0.1,100.0,100.0,2.1e-16
a,2025-08-02 00:30:00,520.0,210.1,1.3,0.1,100.0,100.0,1.2e-16
a,2025-08-02 00:30:00,580.0,211.1,1.1,0.1,100.0,100.0,1.4e-16
a,2025-08-02 00:30:00,640.0,203.0,1.2,0.1,100.0,100.0,2.2e-16
a,2025-08-02 00:30:00,700.0,231.7,1.6,0.2,100.0,100.0,1.3e-16
a,2025-08-02 00:30:00,760.0,236.1,1.5,0.2,100.0,100.0,1.1e-16
a,2025-08-02 00:30:00,820.0,239.3,1.0,0.1,100.0,100.0,1.1e-16
a,2025-08-02 00:30:00,940.0,273.1,2.3,0.1,100.0,100.0,5.5e-17
a,2025-08-02 00:30:00,1060.0,261.0,2.0,0.2,100.0,100.0,1.6e-16
a,2025-08-02 00:30:00,1180.0,264.6,2.1,0.1,100.0,100.0,1.9e-16
a,2025-08-02 00:30:00,1300.0,258.9,2.0,-0.0,100.0,100.0,2e-16
a,2025-08-02 00:30:00,1420.0,249.0,2.0,-0.1,100.0,100.0,1.7e-16
a,2025-08-02 00:30:00,1540.0,243.8,2.0,-0.1,100.0,100.0,2e-16
a,2025-08-02 00:30:00,1660.0,248.1,2.1,-0.3,100.0,100.0,1.9e-16
a,2025-08-02 00:30:00,1780.0,258.1,1.7,-0.2,100.0,100.0,1.8e-16
a,2025-08-02 00:30:00,1900.0,248.5,1.4,-0.1,100.0,100.0,1.2e-16
a,2025-08-02 00:30:00,2020.0,262.8,2.5,-0.1,100.0,100.0,1.4e-16
a,2025-08-02 00:30:00,2260.0,261.9,2.4,-0.1,100.0,100.0,7.8e-17
a,2025-08-02 00:30:00,2500.0,257.6,2.7,-0.1,100.0,100.0,5.4e-17
a,2025-08-02 00:30:00,2740.0,246.6,3.1,-0.1,100.0,100.0,8e-17
a,2025-08-02 00:30:00,2980.0,242.1,3.1,-0.0,100.0,100.0,8.8e-17
a,2025-08-02 00:30:00,3220.0,244.1,3.2,-0.0,100.0,100.0,4.8e-17
a,2025-08-02 00:30:00,3460.0,249.1,4.2,-0.2,100.0,100.0,7.3e-17
a,2025-08-02 00:30:00,3700.0,269.1,4.4,-0.1,100.0,100.0,3.7e-17
a,2025-08-02 00:30:00,3940.0,287.8,4.4,0.1,100.0,100.0,2.4e-17
a,2025-08-02 00:30:00,4180.0,291.6,4.8,0.1,100.0,100.0,4.8e-17
a,2025-08-02 00:30:00,4420.0,298.9,5.0,0.2,100.0,100.0,3.6e-17
a,2025-08-02 00:30:00,4660.0,292.8,3.9,0.1,100.0,100.0,4.8e-17
a,2025-08-02 00:30:00,4900.0,283.9,3.7,0.0,100.0,100.0,3.5e-17
a,2025-08-02 00:30:00,5140.0,291.2,5.0,0.1,100.0,100.0,4.5e-17
a,2025-08-02 00:30:00,5380.0,289.1,5.5,0.1,100.0,100.0,2.4e-17
a,2025-08-02 00:30:00,5620.0,,,,,,
a,2025-08-02 00:30:00,5860.0,,,,,,
a,2025-08-02 00:30:00,6100.0,,,,,,
a,2025-08-02 00:30:00,6340.0,,,,,,
a,2025-08-02 00:30:00,6580.0,,,,,,
a,2025-08-02 00:30:00,6820.0,,,,,,
a,2025-08-02 00:30:00,7060.0,,,,,,
a,2025-08-02 00:30:00,7300.0,,,,,,
a,2025-08-02 00:30:00,7540.0,,,,,,
a,2025-08-02 00:30:00,7780.0,,,,,,
a,2025-08-02 00:30:00,8020.0,,,,,,
a,2025-08-02 00:30:00,8260.0,,,,,,
a,2025-08-02 00:30:00,8500.0,,,,,,
a,2025-08-02 00:30:00,8740.0,,,,,,
a,2025-08-02 00:30:00,8980.0,,,,,,
a,2025-08-02 00:30:00,9220.0,,,,,,
a,2025-08-02 00:30:00,9460.0,,,,,,
a,2025-08-02 00:30:00,9700.0,,,,,,
a,2025-08-02 00:30:00,9940.0,,,,,,
a,2025-08-02 00:30:00,10180.0,,,,,,
a,2025-08-02 00:30:00,10420.0,,,,,,
